"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Bradi1g00200.v3.1" 0.025526952593914 -0.295402371580202 12.3361785767285 -0.0239460194048635 0.980895666616796 NA
"Bradi1g00210.v3.1" 16.6391634288289 0.664178824902673 2.31546537437643 0.286844637044741 0.774231282989376 NA
"Bradi1g00213.v3.1" 2.09806130371999 -0.297503089580838 2.5000971778712 -0.118996610297428 0.905278041291574 NA
"Bradi1g00215.v3.1" 0.0289199442484567 -1.25713085880182 12.3361785768587 -0.101906019839893 0.918831271700247 NA
"Bradi1g00217.v3.1" 1.5223242742826 -0.508766833680077 2.57256978282806 -0.197765999226184 0.843228149408032 NA
"Bradi1g00219.v3.1" 13.4540145038523 -0.106604875947889 0.700902016972606 -0.152096688790176 0.879110675787643 NA
"Bradi1g00222.v3.1" 27.7652585755605 0.434158745577307 0.566904483379688 0.765841086648324 0.443770863702697 NA
"Bradi1g00234.v3.1" 28.361635294667 -2.25514570420985 1.29178396703963 -1.74576071676903 0.0808525396645808 NA
"Bradi1g00247.v3.1" 10.8464635366516 -0.101365880925631 1.04027742488219 -0.0974412003001131 0.922376027272527 NA
"Bradi1g00253.v3.1" 0.566639233148637 -0.295855332001712 7.33107614227948 -0.0403563305386322 0.967809045047127 NA
"Bradi1g00260.v3.1" 106.538554061365 0.600404581830647 0.25760831260388 2.33068791826558 0.0197698217201155 0.131421344704284
"Bradi1g00266.v3.1" 38.4800175193148 1.26868794746902 0.578751609099883 2.19211130910232 0.028371470357623 0.157452357857059
"Bradi1g00272.v3.1" 0.16143617621307 -1.25613257089364 12.3361785751246 -0.101825096260083 0.918895505246486 NA
"Bradi1g00278.v3.1" 3.00619049365453 -1.00008884672547 1.56450259480138 -0.639237576242201 0.522668390674641 NA
"Bradi1g00284.v3.1" 95.1640612112986 0.118939957786441 0.287334001346703 0.41394320626512 0.678915700520952 0.836593680058217
"Bradi1g00287.v3.1" 0.190074019803447 -4.69934196896708 12.2873187661959 -0.382454631346883 0.702124174609539 NA
"Bradi1g00291.v3.1" 2.42894781244261 -0.0337207274659101 1.80636620063824 -0.0186677139186925 0.985106184325423 NA
"Bradi1g00300.v3.1" 0.508078173434297 -1.98107123835575 12.3252739156165 -0.160732430931671 0.872304145332185 NA
"Bradi1g00322.v3.1" 0.0222359890777903 -0.295553938658254 12.3361785768587 -0.0239583057927421 0.980885866309251 NA
"Bradi1g00330.v3.1" 1.81413281050088 -0.963265594638163 3.30806654662988 -0.291186885469247 0.770908392091737 NA
"Bradi1g00332.v3.1" 0.655061621175566 -0.256346734146446 4.38944113511636 -0.0584007681742496 0.953429402903895 NA
"Bradi1g00335.v3.1" 0.969867743255753 -1.44453654694294 3.26267481762021 -0.442746098735203 0.657949394637043 NA
"Bradi1g00341.v3.1" 8.05228082971539 -0.837936968796488 0.749183292525732 -1.11846723913388 0.263367490894524 NA
"Bradi1g00345.v3.1" 1.4703791966067 1.17593207224011 2.8523119094021 0.412273310069589 0.68013910900259 NA
"Bradi1g00350.v3.1" 0.169577961092297 1.31262832305303 12.3271600484626 0.106482621941518 0.915199442695531 NA
"Bradi1g00360.v3.1" 0.0788349545429953 1.47406768602362 12.3039388740384 0.119804535857532 0.904637988731682 NA
"Bradi1g00361.v3.1" 1.55007330847745 -0.928725575886687 2.07750568652583 -0.447038764760146 0.654847071020081 NA
"Bradi1g00362.v3.1" 3.51591605451102 2.72951077969362 1.72213145826025 1.58496075697442 0.112975250746066 NA
"Bradi1g00364.v3.1" 3.44304153649328 0.096706309312399 1.59084347840866 0.0607893300786168 0.951526987970426 NA
