"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Bradi1g00200.v3.1" 0.025526952593914 0.472808256493078 12.3535594419713 0.0382730385290175 0.969469987168024 NA
"Bradi1g00210.v3.1" 16.6391634288289 7.91267701806837 1.9038613196278 4.15612047815294 3.23697175079141e-05 0.000417811436233325
"Bradi1g00213.v3.1" 2.09806130371999 5.18428483968671 2.22222842267315 2.33292166853417 0.0196522568862095 0.0752836722041064
"Bradi1g00215.v3.1" 0.0289199442484567 -0.488915041728059 12.3535594419714 -0.0395768558871352 0.968430479305777 NA
"Bradi1g00217.v3.1" 1.5223242742826 0.472842150391268 3.04307007919855 0.155383260353899 0.876519180185594 NA
"Bradi1g00219.v3.1" 13.4540145038523 -1.99554805144436 0.931171929273854 -2.14305005199257 0.0321090795313108 0.10825374129951
"Bradi1g00222.v3.1" 27.7652585755605 -0.397904048131859 0.546363590229781 -0.728277021469375 0.466444025620407 0.656540492725723
"Bradi1g00234.v3.1" 28.361635294667 0.457717327249585 0.669400499941101 0.683772012853081 0.494119141975039 0.679785104093005
"Bradi1g00247.v3.1" 10.8464635366516 4.98684907424008 1.60915701771807 3.09904441849427 0.0019414591058232 0.0123613427597257
"Bradi1g00253.v3.1" 0.566639233148637 1.43460244211075 7.33472185536274 0.195590571858133 0.844930640318492 NA
"Bradi1g00260.v3.1" 106.538554061365 -0.325877913311893 0.265647308367786 -1.22673147081437 0.21992353517908 0.410921223774561
"Bradi1g00266.v3.1" 38.4800175193148 0.369569476460987 0.568433232660162 0.650154592002777 0.515592368741214 0.696414660223815
"Bradi1g00272.v3.1" 0.16143617621307 2.98971447226977 12.324331475944 0.242586340533394 0.808325863862562 NA
"Bradi1g00278.v3.1" 3.00619049365453 1.14819422711514 1.30481051464479 0.879970090850866 0.378875512388506 0.582003292087887
"Bradi1g00284.v3.1" 95.1640612112986 6.07204238654617 0.412012343385947 14.7375254261697 3.70099252886944e-49 7.17081537055104e-46
"Bradi1g00287.v3.1" 0.190074019803447 0.472808256493066 12.3535594419713 0.0382730385290166 0.969469987168024 NA
