"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Bradi1g00200.v3.1" 0.025526952593914 0.867466975905598 12.3489173131909 0.0702463992514536 0.943997544249643 NA
"Bradi1g00210.v3.1" 16.6391634288289 9.2791438528044 1.99495760241572 4.65129877525625 3.29851032448775e-06 4.86232857305273e-05
"Bradi1g00213.v3.1" 2.09806130371999 3.64259929348089 2.06657910913599 1.76262272147124 0.0779641422807777 NA
"Bradi1g00215.v3.1" 0.0289199442484567 -0.228654961420159 12.3535594419714 -0.0185092371550261 0.985232608644592 NA
"Bradi1g00217.v3.1" 1.5223242742826 -0.228671352859768 3.04307007919855 -0.07514495128551 0.940099382949715 NA
"Bradi1g00219.v3.1" 13.4540145038523 -2.11323796522427 1.68995547064871 -1.25046961409763 0.21112804851052 0.37190306542136
"Bradi1g00222.v3.1" 27.7652585755605 0.00708367740863028 0.554104424007686 0.012784011644224 0.989800112314268 0.994379705840515
"Bradi1g00234.v3.1" 28.361635294667 1.29974326760343 0.678760871200925 1.91487653863106 0.0555082504971666 0.142612610910836
"Bradi1g00247.v3.1" 10.8464635366516 4.04742983561752 1.61996166374343 2.49847260352116 0.0124729783210114 0.0462571033984788
"Bradi1g00253.v3.1" 0.566639233148637 2.83917509202929 7.27245348846301 0.390401271941215 0.696239847461703 NA
"Bradi1g00260.v3.1" 106.538554061365 -0.259064466918291 0.264250297061292 -0.980375310072792 0.32690089254952 0.50230713299067
"Bradi1g00266.v3.1" 38.4800175193148 0.522548753006655 0.568604225629952 0.919002584667267 0.358094220284006 0.532851090992962
"Bradi1g00272.v3.1" 0.16143617621307 2.7266529110919 12.3182957130899 0.221349850222743 0.8248200376029 NA
"Bradi1g00278.v3.1" 3.00619049365453 2.54151928079757 1.39773225829059 1.81831625171607 0.0690158102624035 0.166818236685877
"Bradi1g00284.v3.1" 95.1640612112986 5.96430535544801 0.418149737840442 14.2635635412592 3.69114219635851e-46 4.76662446999224e-43
"Bradi1g00287.v3.1" 0.190074019803447 -0.228654961420161 12.3535594419714 -0.0185092371550262 0.985232608644592 NA
"Bradi1g00291.v3.1" 2.42894781244261 1.60594008238136 2.2594056620587 0.710779878686364 0.47722065128223 NA
"Bradi1g00300.v3.1" 0.508078173434297 4.28111152276684 12.3044469147062 0.347932056795669 0.727891209764162 NA
"Bradi1g00322.v3.1" 0.0222359890777903 -0.22865496142016 12.3535594419714 -0.0185092371550261 0.985232608644592 NA
"Bradi1g00330.v3.1" 1.81413281050088 -0.228670857424088 3.68691928705808 -0.0620222032597173 0.950545150393777 NA
"Bradi1g00332.v3.1" 0.655061621175566 1.93069257252769 4.50750226983303 0.428328696681768 0.668411829079921 NA
"Bradi1g00335.v3.1" 0.969867743255753 1.3237330282492 3.45835095873542 0.382764226084571 0.70189458858338 NA
"Bradi1g00341.v3.1" 8.05228082971539 -0.228672034830133 1.81540832900633 -0.125961763629947 0.899762191642182 0.945932635430294
"Bradi1g00345.v3.1" 1.4703791966067 -0.228671185541066 3.2746989144058 -0.0698296825198535 0.944329221602227 NA
"Bradi1g00350.v3.1" 0.169577961092297 -0.228654961420151 12.3535594419713 -0.0185092371550254 0.985232608644593 NA
"Bradi1g00360.v3.1" 0.0788349545429953 -1.19037825964129 12.3535594419713 -0.0963591315711783 0.923235349314963 NA
"Bradi1g00361.v3.1" 1.55007330847745 4.65078195411408 2.2714041546667 2.04753607787449 0.0406054782938659 NA
"Bradi1g00362.v3.1" 3.51591605451102 5.73223642673264 1.93045917120076 2.9693642384403 0.00298416642675636 0.0150212251540282
"Bradi1g00364.v3.1" 3.44304153649328 2.01568311886887 2.15301281762159 0.936215103956314 0.349162448123973 0.524728541360247
"Bradi1g00365.v3.1" 0 NA NA NA NA NA
"Bradi1g00366.v3.1" 0.728221151014544 -2.06988074280331 6.32090418981811 -0.327465925861926 0.74331551073832 NA
"Bradi1g00368.v3.1" 0.659778219043373 4.90398985953481 5.20940425244854 0.941372491341947 0.346514005576622 NA
"Bradi1g00370.v3.1" 33.4451746905659 8.82080860948257 1.27174611395383 6.93598235740536 4.03407947137909e-12 2.07071493535057e-10
"Bradi1g00381.v3.1" 0.30284585733624 -1.68441606289668 12.3190492874083 -0.136732634442689 0.891242133228371 NA
"Bradi1g00385.v3.1" 0.00469012138457946 -0.228654961420158 12.3535594419714 -0.0185092371550259 0.985232608644592 NA
"Bradi1g00390.v3.1" 0.0785909806742171 -0.228654961420151 12.3535594419714 -0.0185092371550254 0.985232608644593 NA
