"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Bradi1g00200.v3.1" 0.025526952593914 0.421814316220462 12.3535594419713 0.0341451642501791 0.9727613936015 NA
"Bradi1g00210.v3.1" 16.6391634288289 7.80350289204164 1.91510231254881 4.07471853639818 4.60700330191447e-05 0.000622699850294529
"Bradi1g00213.v3.1" 2.09806130371999 4.9443013485915 2.22443164738311 2.22272568114563 0.0262343031080443 0.0973426755186481
"Bradi1g00215.v3.1" 0.0289199442484567 0.421814316220462 12.3535594419713 0.034145164250179 0.972761393601501 NA
"Bradi1g00217.v3.1" 1.5223242742826 1.38363679520339 3.04307007919856 0.454684499269828 0.649336234043259 0.812338333947123
"Bradi1g00219.v3.1" 13.4540145038523 -2.22470705549169 1.12404124676469 -1.97920411007605 0.0477930303692794 0.150753406340598
"Bradi1g00222.v3.1" 27.7652585755605 -0.192371647639345 0.561263033996763 -0.342747759939692 0.731788229365427 0.865458732518771
"Bradi1g00234.v3.1" 28.361635294667 0.279301164922297 0.675067615892141 0.413738058747174 0.679065951325996 0.832197747561445
"Bradi1g00247.v3.1" 10.8464635366516 2.08779108673407 1.55892397011683 1.33925138541401 0.180488849191348 0.377882990042491
"Bradi1g00253.v3.1" 0.566639233148637 -2.54649974926906 7.27310052755959 -0.350125746182078 0.726244329643676 NA
"Bradi1g00260.v3.1" 106.538554061365 -0.0931905064095486 0.2682424442068 -0.347411486967007 0.728282204791812 0.863142556421665
"Bradi1g00266.v3.1" 38.4800175193148 1.1659855144799 0.581113374801228 2.0064682126422 0.0448063169208255 0.144040212644207
"Bradi1g00272.v3.1" 0.16143617621307 2.30564994174073 12.3388624707855 0.186860818588405 0.851769760274575 NA
"Bradi1g00278.v3.1" 3.00619049365453 2.27139350194301 1.32623455387422 1.71266349176907 0.0867744652734604 0.229880272981978
"Bradi1g00284.v3.1" 95.1640612112986 7.60724952714483 0.61106055634159 12.449256375979 1.41154166153418e-35 1.51975985558513e-32
"Bradi1g00287.v3.1" 0.190074019803447 0.421814316220467 12.3535594419713 0.0341451642501795 0.9727613936015 NA
"Bradi1g00291.v3.1" 2.42894781244261 2.29589722160248 2.36070631324258 0.97254673684882 0.330778625677833 0.55275947018788
"Bradi1g00300.v3.1" 0.508078173434297 2.72878460685046 12.3283079468523 0.221342995211859 0.824825374750904 NA
"Bradi1g00322.v3.1" 0.0222359890777903 1.38353761444159 12.3535594419713 0.111995058666331 0.910827324535708 NA
"Bradi1g00330.v3.1" 1.81413281050088 2.9629523939657 3.58540420011718 0.826392849617587 0.408581278270407 0.628704784930812
"Bradi1g00332.v3.1" 0.655061621175566 0.421842117414365 4.56231372656878 0.0924623212467293 0.926330726229957 NA
"Bradi1g00335.v3.1" 0.969867743255753 4.13517784438609 3.39920748071606 1.21651233937476 0.223789813402927 NA
"Bradi1g00341.v3.1" 8.05228082971539 0.421845812623232 1.81540832900633 0.232369658044993 0.816250913361813 0.91149194473938
"Bradi1g00345.v3.1" 1.4703791966067 0.421844245885788 3.2746989144058 0.128819246261097 0.897500676104087 0.948679435103069
"Bradi1g00350.v3.1" 0.169577961092297 0.421814316220467 12.3535594419713 0.0341451642501795 0.9727613936015 NA
"Bradi1g00360.v3.1" 0.0788349545429953 0.421814316220462 12.3535594419713 0.0341451642501791 0.9727613936015 NA
"Bradi1g00361.v3.1" 1.55007330847745 1.27732771510028 2.07986997433155 0.614138254248706 0.539123971332075 0.734279822714985
"Bradi1g00362.v3.1" 3.51591605451102 2.99503166394021 1.6981201349766 1.76373367363757 0.0777768289441139 0.21242503539963
"Bradi1g00364.v3.1" 3.44304153649328 0.421845408063914 2.28336145476739 0.184747538407969 0.853427057668354 0.92880239102684
"Bradi1g00365.v3.1" 0 NA NA NA NA NA
"Bradi1g00366.v3.1" 0.728221151014544 2.22971228058411 6.32546632567755 0.352497691993526 0.724465049060829 NA
"Bradi1g00368.v3.1" 0.659778219043373 4.08323743825559 5.21315433243017 0.783256580925381 0.433476454735693 NA
"Bradi1g00370.v3.1" 33.4451746905659 7.05202046013144 1.13069309849687 6.23690059619741 4.46325398140247e-10 2.24815756100273e-08
"Bradi1g00381.v3.1" 0.30284585733624 0.421814316220463 12.3535594419713 0.0341451642501791 0.9727613936015 NA
"Bradi1g00385.v3.1" 0.00469012138457946 0.421814316220462 12.3535594419713 0.0341451642501791 0.972761393601501 NA
"Bradi1g00390.v3.1" 0.0785909806742171 2.1445299805386 12.3437651770355 0.173733860761408 0.862074625139101 NA
"Bradi1g00400.v3.1" 0.149346379126047 -0.539908982000663 12.3535594419714 -0.0437047301659728 0.965139768694253 NA
"Bradi1g00405.v3.1" 0.008728135575611 0.421814316220458 12.3535594419714 0.0341451642501787 0.972761393601501 NA
