"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Bradi1g00200.v3.1" 0.025526952593914 -0.697176328066936 12.3535594419713 -0.0564352591123068 0.954995068992467 NA
"Bradi1g00210.v3.1" 16.6391634288289 2.14068094338389 2.236504095869 0.957154939862569 0.338489056772453 NA
"Bradi1g00213.v3.1" 2.09806130371999 -0.697227355106525 2.50024173138995 -0.278863977971809 0.780349213728914 NA
"Bradi1g00215.v3.1" 0.0289199442484567 0.264546970154183 12.3535594419713 0.0214146353038446 0.982914898958899 NA
"Bradi1g00217.v3.1" 1.5223242742826 -1.53900607155308 2.6190049466426 -0.587630074363161 0.556780620063622 NA
"Bradi1g00219.v3.1" 13.4540145038523 1.13427819888709 0.695817790423636 1.63013681814101 0.103072583736595 NA
"Bradi1g00222.v3.1" 27.7652585755605 -0.107977481475018 0.57553496778641 -0.187612373736933 0.851180525652349 0.950835508955857
"Bradi1g00234.v3.1" 28.361635294667 -1.947393350525 1.12392465908888 -1.73267250146791 0.0831538947639827 0.37341017857226
"Bradi1g00247.v3.1" 10.8464635366516 -0.615537185505358 1.02914835125952 -0.598103455883728 0.549770904475928 NA
"Bradi1g00253.v3.1" 0.566639233148637 -1.35072439879916 7.31908995013846 -0.184548134809247 0.853583469447435 NA
"Bradi1g00260.v3.1" 106.538554061365 0.331693710373941 0.253020447705648 1.31093638234257 0.189879257762845 0.54274475331753
"Bradi1g00266.v3.1" 38.4800175193148 0.209070870898749 0.565870534100078 0.369467675554516 0.711779162598204 0.890463303001157
"Bradi1g00272.v3.1" 0.16143617621307 0.26454697015419 12.3535594419714 0.0214146353038452 0.982914898958898 NA
"Bradi1g00278.v3.1" 3.00619049365453 0.264566603489614 2.05025154833085 0.129041045575604 0.897325170646744 NA
"Bradi1g00284.v3.1" 95.1640612112986 0.541257936001974 0.286280274503178 1.89065745777034 0.0586700848588185 0.31830469861603
"Bradi1g00287.v3.1" 0.190074019803447 -2.23739789856572 12.3251549694663 -0.181531015561957 0.855950790651513 NA
"Bradi1g00291.v3.1" 2.42894781244261 0.595390490789883 1.81033765936195 0.328883668585742 0.742243618858105 NA
"Bradi1g00300.v3.1" 0.508078173434297 0.26454697015419 12.3535594419713 0.0214146353038452 0.982914898958898 NA
"Bradi1g00322.v3.1" 0.0222359890777903 0.264546970154183 12.3535594419713 0.0214146353038447 0.982914898958899 NA
