"X10"	"X14"	"X18"	"X22"	"X2"	"X6"
"Bradi1g00222.v3.1"	-0.301916780527593	-0.880780746998978	0.648319138520686	-0.563915110239806	1.73059274313675	-0.632299243891064
"Bradi1g00234.v3.1"	-1.37474983570502	1.21141054377037	0.587263008178132	-0.841181860696997	0.710142003552816	-0.292883859099299
"Bradi1g00260.v3.1"	1.73224688547236	-0.344985490498759	-0.103801339437606	0.0850957373690316	-0.00390400755676574	-1.36465178534826
"Bradi1g00266.v3.1"	-1.03033039346411	-1.36386562659407	1.1295109512896	0.0838234839285852	0.812074003553102	0.368787581286893
"Bradi1g00450.v3.1"	-1.21706844012823	-0.104197233106265	-0.108187290233456	-0.166452253440225	1.84557366960551	-0.24966845269734
"Bradi1g00460.v3.1"	0.0617469470255738	-0.602521220306555	0.151234960135587	-0.00537766365909824	1.70282801976248	-1.30791104295799
"Bradi1g00470.v3.1"	-0.97370469694173	-0.375865517050438	-0.138765387359286	0.255600822742759	1.85455540930263	-0.62182063069394
"Bradi1g00480.v3.1"	-1.10066067797063	-0.756236745575897	-0.111068737622339	0.494928179949077	1.70462059730396	-0.23158261608417
"Bradi1g00485.v3.1"	-1.52451584726453	1.27085283028994	0.479091020117916	-0.139866276633224	0.592842189255157	-0.678403915765265
"Bradi1g00497.v3.1"	-1.36375529316546	0.15164855330362	0.242907176292274	-0.0849743093938237	1.64407136114337	-0.589897488179986
"Bradi1g00510.v3.1"	-0.703245586212182	-0.811212954259239	0.612942633479442	-0.46133768525057	-0.397962637679568	1.76081622992212
"Bradi1g00517.v3.1"	-1.28752371769532	-0.338507878077093	0.649121655336832	-0.356755101701038	1.6128057618437	-0.279140719707073
"Bradi1g00530.v3.1"	0.0423719194560933	-1.36751312036225	-0.0526741514802498	1.74379034195071	-0.276700665336461	-0.0892743242278382
"Bradi1g00540.v3.1"	-0.226408593423284	0.273971226965579	0.671072479323979	-1.91554887999678	0.735773758862546	0.461140008267966
"Bradi1g00560.v3.1"	-0.733634267499808	-0.427526521888625	-0.579780971962028	0.406687081720938	1.86865630361199	-0.534401623982461
"Bradi1g00567.v3.1"	-0.213547345856161	-1.52421730566433	1.39288618757932	-0.116847556660264	0.76508131497317	-0.303355294371738
"Bradi1g00580.v3.1"	-0.790546593807114	-1.23628966676687	0.130575203279649	0.5475910767793	1.57440796330314	-0.22573798278811
"Bradi1g00587.v3.1"	1.8248100616389	0.0312950101135624	-0.699775304785736	0.196478224174568	-0.340431555426519	-1.01237643571477
"Bradi1g00620.v3.1"	-0.876572106658756	0.37069463932283	0.472950886286674	0.08485527601855	1.36363551809123	-1.41556421306053
"Bradi1g00678.v3.1"	-1.7445527533745	-0.0189018898786678	0.585617166502414	0.889119055902554	0.769266837482919	-0.480548416634721
"Bradi1g00690.v3.1"	1.06134355376	0.402337817237075	0.917246640618887	-0.642315973452668	-1.55719300929543	-0.181419028867872
"Bradi1g00700.v3.1"	-0.419091945754146	0.127936925352818	1.90241705304577	-0.0729869872300828	-0.756267354900487	-0.782007690513867
"Bradi1g00710.v3.1"	-0.86788294950105	-1.47407245391153	-0.0777168920292367	1.01002905122269	0.540285989224475	0.869357254994653
"Bradi1g00720.v3.1"	-0.778024519345424	0.232796547097013	1.53984706692104	-0.709311890230144	0.701600852127808	-0.986908056570297
"Bradi1g00730.v3.1"	-1.06589123614936	0.202580031188972	1.4857344302764	-0.639247524231517	-0.768328309319058	0.785152608234564
"Bradi1g00740.v3.1"	1.37360600836111	0.335883213479362	-0.777827900213531	0.295085226021343	-1.49537211782761	0.268625570179327
"Bradi1g00750.v3.1"	-0.0677465539474694	-0.597156697724535	-0.359219792960344	-0.32784721188855	1.99666295451764	-0.644692697996734
"Bradi1g00760.v3.1"	-0.74246933879777	-0.298838720177851	-0.895032806721797	1.62847891320963	0.809300304751168	-0.501438352263383
"Bradi1g00790.v3.1"	-0.843267978241527	-0.2183573298503	-1.24521697237671	0.237341146069947	0.538310443507741	1.53119069089085
"Bradi1g00820.v3.1"	-1.34812666689277	-0.497637172682263	1.48661327418089	-0.0520440437778202	-0.359045778081182	0.770240387253153
"Bradi1g00840.v3.1"	0.41286983231423	1.2336985197133	-0.0741409745331359	-1.6506657288793	-0.496731368585981	0.574969719970887
"Bradi1g00847.v3.1"	-1.11975311506007	-0.315058786851286	0.339865890309684	0.176829217865561	1.69975261846014	-0.781635824724028
"Bradi1g00860.v3.1"	-1.58618332335074	-0.381170917913623	0.535409313936595	0.095589853398459	1.42646778506553	-0.0901127111362225
"Bradi1g00887.v3.1"	-1.59903372561445	-0.0578376838099467	1.13572981159682	0.74035758062198	0.42784273703687	-0.647058719831281
"Bradi1g00900.v3.1"	-0.659062133996022	-0.388483873279411	-0.538477856210982	-0.269609547790857	2.00725683721625	-0.151623425938982
"Bradi1g00910.v3.1"	-0.879238358627043	-0.114264541554842	0.705271163754129	-0.714185738961628	1.66396289090589	-0.66154541551651
"Bradi1g00920.v3.1"	-0.464720954584158	1.65848991752748	-0.508010713342356	0.487120527126642	0.0655813254798137	-1.23846010220743
"Bradi1g00931.v3.1"	1.53553544388464	0.415041691531155	-1.11312613810426	0.456272931477763	-0.951637049969019	-0.342086878820287
"Bradi1g00940.v3.1"	0.928402706329589	0.409773600862805	-0.125347087026097	0.601428979056859	-1.89377972042836	0.0795215212052064
"Bradi1g00980.v3.1"	-0.659277694658715	-0.52226411868225	-0.720373525454765	-0.66589024299844	1.41319418043879	1.15461140135538
