"X10"	"X14"	"X18"	"X22"	"X2"	"X6"
"Bradi1g00222.v3.1"	-0.297295148101658	-0.667414896243285	-0.658860193924291	0.736783430650303	1.68758610417495	-0.800799296556019
"Bradi1g00234.v3.1"	0.162206823677814	-0.0276462423228106	1.54073087425915	0.0423167397306258	-0.109740234599554	-1.60786796074523
"Bradi1g00260.v3.1"	0.367866713573161	-1.47639259459118	0.775113009282797	-0.795190255021364	1.20263484622452	-0.0740317194679362
"Bradi1g00266.v3.1"	-1.17948588013745	0.844385509747912	0.970836002050167	-0.623633815324415	0.878344722760717	-0.890446539096934
"Bradi1g00450.v3.1"	0.476459903254204	0.256808039798585	-0.601518418497892	-0.51530518301783	1.60707184113837	-1.22351618267544
"Bradi1g00460.v3.1"	-0.660752028584636	0.761186154987786	-1.38959580183765	-0.531354365842817	0.671983901904414	1.1485321393729
"Bradi1g00470.v3.1"	-0.37434726233226	-0.0940665058351133	-0.0476446352124046	-0.283974694598724	1.89133769185165	-1.09130459387315
"Bradi1g00480.v3.1"	-0.820558909424054	-0.878347146418651	0.223265826848489	1.14711613653131	1.19758248703137	-0.869058394568466
"Bradi1g00485.v3.1"	0.248318683878535	-1.6492761460601	0.569673848647834	0.088790565644292	1.26851070015238	-0.526017652262936
"Bradi1g00497.v3.1"	-0.0511566843106057	-0.0919620288959788	1.33665646796101	-0.46529676045522	0.802199981400485	-1.53044097569969
"Bradi1g00510.v3.1"	-0.462014531574284	0.590250413211363	-1.11058869354221	-0.999971826096789	1.33756572392949	0.644758914072431
"Bradi1g00517.v3.1"	-0.971244213490092	0.276315205411142	1.11231645751533	0.124188326938103	0.865216465245367	-1.40679224161985
"Bradi1g00530.v3.1"	-0.876931804034846	-0.504626118560101	1.26631216742302	0.756580173715967	-1.21361964605432	0.572285227510278
"Bradi1g00540.v3.1"	0.389234309032483	1.38431244595925	-1.66257355747587	0.0978226469808908	0.15700000048098	-0.36579584497774
"Bradi1g00567.v3.1"	1.29179343121103	0.418407329796435	-1.07674775864426	-0.923585461699512	0.887265924718033	-0.597133465381714
"Bradi1g00580.v3.1"	-1.46919835833392	0.497109130762839	1.32555069817085	-0.37779808311718	0.601331490613625	-0.576994878096221
"Bradi1g00587.v3.1"	0.0535769551579499	0.502642418119607	1.56546796048967	-1.42123156939467	-0.469751648228402	-0.230704116144156
"Bradi1g00620.v3.1"	-1.4178521336888	0.856520807692192	0.977458586252089	0.224375029037626	0.402651476802562	-1.04315376609567
"Bradi1g00678.v3.1"	-0.789702078170835	-0.481266866516194	-0.0924603892841	-0.518088503117781	1.96490088249162	-0.0833830454027014
"Bradi1g00690.v3.1"	-0.96262459657798	0.695614386008302	1.27984964799847	0.574275559579435	-0.367999062231795	-1.21911593477643
"Bradi1g00710.v3.1"	-0.0192462022200122	1.13901511152042	-0.792227741926775	-0.571510509684553	1.28780296353128	-1.04383362122036
"Bradi1g00720.v3.1"	-0.819148323663819	-0.836909532350635	0.0484718361159935	-0.62010796976301	1.73044442819079	0.497249561470679
"Bradi1g00730.v3.1"	-0.867892187035353	-0.011134912842278	-1.51932370861879	0.899663062808033	0.695175027054206	0.803512718634178
"Bradi1g00740.v3.1"	-0.55112414953411	-0.952253056260696	-0.107196131279057	-0.774287297936731	0.783355547980492	1.6015050870301
"Bradi1g00750.v3.1"	-1.5500903106488	0.567652372523551	0.329278078330119	-0.246777286639452	1.37211940062157	-0.472182254186991
"Bradi1g00820.v3.1"	-0.421134176241872	-0.473666888560509	0.126504154402259	0.451838243863266	1.6292921362736	-1.31283346973674
"Bradi1g00830.v3.1"	0.89919947930508	-1.62688603982509	-0.0957528567397202	0.472844332712189	-0.615421523081748	0.966016607629288
"Bradi1g00840.v3.1"	0.46793852618432	1.18414285830991	-0.577213028186614	-1.08705835897147	-0.959279064257545	0.971469066921399
"Bradi1g00847.v3.1"	-0.435213042889633	-0.629414095721564	0.72336207060966	0.933756054120099	0.896178857850924	-1.48866984396949
"Bradi1g00860.v3.1"	-0.241312446247913	0.496784555771414	-0.352327758850143	0.346402091533721	1.36178445291191	-1.61133089511899
"Bradi1g00887.v3.1"	-0.41752252487592	-0.989098937133342	0.699830883192589	1.14813166546337	0.764722188051272	-1.20606327469797
"Bradi1g00900.v3.1"	-1.04956089790413	-0.64000291871905	0.090639604164512	1.46472845791288	0.881397865633997	-0.747202111088212
"Bradi1g00910.v3.1"	-0.068035739855489	0.651367210638588	-0.210961632104385	0.713773536593079	0.765985359903112	-1.8521287351749
"Bradi1g00920.v3.1"	0.295305978835146	-0.365057725688342	-1.18222979664626	0.236698558427424	1.69305997692269	-0.677776991850662
"Bradi1g00931.v3.1"	1.59173701623714	-0.437198163200991	0.511394132275559	-0.868656403792223	-1.08468426485308	0.287407683333596
"Bradi1g00940.v3.1"	0.848242178173972	-0.443497599153128	-0.543230702702135	-0.704651886182845	-0.79019012084623	1.63332813071036
"Bradi1g00980.v3.1"	-0.935432160112256	0.726158752654747	0.311496639965111	-0.303961985150789	1.40238538323147	-1.20064663058828
"Bradi1g00990.v3.1"	-0.242986139651862	-0.743973951153024	1.06749419649049	0.589204558730503	0.82195383601305	-1.49169250042916
"Bradi1g01007.v3.1"	-0.32245186379709	-1.31372181451812	-0.488323003361865	1.35596570788965	-0.247295081924775	1.0158260557122
"Bradi1g01014.v3.1"	0.427139186133594	0.63451783413203	-1.22707318289324	-0.626232305045681	1.44551706738231	-0.653868599709013
"Bradi1g01021.v3.1"	-1.56321408906494	-0.298090796656697	1.31111396159558	0.817937064329905	0.0138068699795712	-0.281553010183415
