"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.44,0.46,0.51,0.53,0.58,0.61,0.67,0.71,0.8,0.83,0.9,0.95,0.92,0.93,0.85,0.82,0.77,0.69,0.79
"2",0.33,0.32,0.26,0.24,0.2,0.15,0.13,0.12,0.08,0.06,0.04,0.03,0.03,0.04,0.06,0.05,0.06,0.09,0.06
"3",0.11,0.12,0.12,0.11,0.11,0.09,0.07,0.08,0.06,0.07,0.09,0.13,0.13,0.18,0.26,0.36,0.43,0.46,0.09
"4",0.44,0.5,0.61,0.73,0.77,0.8,0.74,0.69,0.64,0.59,0.54,0.52,0.52,0.5,0.49,0.5,0.51,0.47,0.7
"5",0.58,0.49,0.37,0.26,0.17,0.13,0.11,0.11,0.1,0.12,0.15,0.18,0.25,0.34,0.43,0.51,0.62,0.73,0.19
"6",0.09,0.14,0.23,0.35,0.54,0.76,0.91,0.98,0.99,0.96,0.93,0.83,0.74,0.71,0.69,0.68,0.73,0.74,0.79
"7",0.47,0.43,0.42,0.37,0.32,0.26,0.24,0.19,0.16,0.15,0.14,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.15
"8",0.23,0.17,0.17,0.16,0.17,0.18,0.16,0.17,0.16,0.12,0.11,0.09,0.11,0.12,0.14,0.15,0.16,0.2,0.12
"9",0.73,0.75,0.75,0.77,0.79,0.8,0.76,0.74,0.62,0.5,0.46,0.4,0.4,0.43,0.45,0.48,0.52,0.57,0.74
"10",0.1,0.08,0.07,0.08,0.09,0.12,0.17,0.19,0.23,0.33,0.44,0.55,0.63,0.73,0.77,0.88,0.93,0.99,0.28
"11",0.19,0.18,0.19,0.22,0.25,0.31,0.32,0.36,0.36,0.38,0.38,0.39,0.38,0.37,0.35,0.37,0.4,0.4,0.3
"12",0.47,0.46,0.49,0.49,0.51,0.51,0.52,0.49,0.45,0.38,0.32,0.29,0.26,0.22,0.19,0.18,0.21,0.23,0.34
"13",0.25,0.24,0.24,0.26,0.27,0.27,0.28,0.26,0.27,0.29,0.29,0.26,0.26,0.33,0.37,0.37,0.41,0.45,0.29
"14",0.09,0.1,0.09,0.12,0.14,0.15,0.19,0.2,0.25,0.3,0.37,0.47,0.58,0.64,0.71,0.78,0.83,0.89,0.28
"15",0.5,0.39,0.27,0.19,0.17,0.09,0.05,0.03,0.03,0.04,0.04,0.07,0.07,0.11,0.18,0.23,0.31,0.39,0.05
"16",0.47,0.46,0.43,0.37,0.36,0.3,0.26,0.23,0.16,0.12,0.07,0.06,0.06,0.04,0.04,0.07,0.11,0.13,0.15
"17",0.33,0.34,0.38,0.44,0.52,0.71,0.89,0.93,0.88,0.81,0.61,0.43,0.35,0.24,0.16,0.13,0.12,0.11,0.4
"18",0.11,0.11,0.11,0.08,0.07,0.07,0.07,0.05,0.04,0.04,0.03,0.07,0.06,0.07,0.06,0.07,0.05,0.05,0.03
"19",0.45,0.37,0.25,0.17,0.09,0.08,0.07,0.04,0.02,0,0,0.02,0.06,0.09,0.13,0.21,0.33,0.37,0.05
"20",0.4,0.39,0.3,0.23,0.22,0.19,0.19,0.19,0.24,0.25,0.32,0.36,0.44,0.48,0.48,0.49,0.49,0.5,0.29
"21",0.91,0.9,0.87,0.86,0.87,0.82,0.8,0.75,0.69,0.72,0.7,0.77,0.78,0.81,0.81,0.84,0.85,0.9,0.91
"22",0.26,0.22,0.19,0.17,0.16,0.1,0.09,0.07,0.05,0.04,0.06,0.06,0.1,0.14,0.18,0.25,0.32,0.39,0.08
"23",0.42,0.36,0.28,0.22,0.18,0.12,0.05,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0.01
"24",0.26,0.25,0.23,0.21,0.25,0.26,0.29,0.29,0.31,0.28,0.21,0.16,0.11,0.09,0.07,0.04,0.04,0.04,0.12
"25",0.98,0.98,0.94,0.87,0.78,0.7,0.61,0.53,0.42,0.33,0.27,0.21,0.23,0.22,0.22,0.23,0.22,0.25,0.47
