"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.81,0.82,0.85,0.86,0.83,0.85,0.83,0.81,0.87,0.87,0.9,0.89,0.91,0.94,0.99,0.99,1,0.99,0.98
"2",0.7,0.66,0.59,0.5,0.44,0.31,0.24,0.21,0.2,0.17,0.17,0.18,0.19,0.21,0.21,0.22,0.31,0.36,0.22
"3",0.28,0.26,0.24,0.22,0.21,0.2,0.19,0.21,0.22,0.22,0.21,0.19,0.17,0.14,0.17,0.19,0.23,0.26,0.19
"4",0.17,0.28,0.39,0.48,0.65,0.82,0.96,0.98,0.87,0.65,0.45,0.32,0.23,0.19,0.17,0.14,0.16,0.19,0.43
"5",0.45,0.36,0.28,0.23,0.14,0.14,0.12,0.11,0.08,0.08,0.06,0.08,0.09,0.1,0.12,0.17,0.23,0.27,0.12
"6",0.26,0.21,0.17,0.15,0.17,0.19,0.21,0.22,0.28,0.33,0.36,0.38,0.43,0.41,0.44,0.44,0.42,0.39,0.28
"7",0.52,0.54,0.5,0.47,0.4,0.31,0.22,0.18,0.11,0.1,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.07
"8",0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.06,0.06,0.1,0.12,0.2,0.24,0.28,0.32,0.34,0.04
"9",0.83,0.84,0.82,0.81,0.77,0.76,0.79,0.84,0.85,0.81,0.78,0.69,0.65,0.61,0.58,0.56,0.58,0.59,0.86
"10",0.16,0.14,0.13,0.12,0.11,0.12,0.1,0.09,0.11,0.2,0.22,0.31,0.39,0.46,0.58,0.7,0.78,0.84,0.18
"11",0.74,0.76,0.8,0.79,0.82,0.78,0.68,0.53,0.42,0.34,0.24,0.25,0.23,0.26,0.28,0.33,0.38,0.48,0.54
"12",0.61,0.63,0.66,0.7,0.72,0.73,0.73,0.7,0.61,0.56,0.51,0.43,0.47,0.46,0.51,0.55,0.57,0.6,0.74
"13",0.1,0.09,0.08,0.06,0.06,0.09,0.13,0.16,0.23,0.27,0.39,0.41,0.44,0.51,0.51,0.51,0.5,0.46,0.18
"14",0.51,0.48,0.41,0.4,0.37,0.3,0.36,0.4,0.5,0.56,0.62,0.73,0.78,0.83,0.88,0.93,0.95,0.94,0.65
