"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.1,0.11,0.1,0.1,0.11,0.09,0.11,0.14,0.15,0.15,0.21,0.29,0.34,0.36,0.41,0.51,0.54,0.56,0.15
"2",0.94,0.96,0.98,0.98,0.99,0.98,0.96,0.92,0.87,0.79,0.6,0.51,0.47,0.42,0.38,0.34,0.31,0.3,0.75
"3",0.46,0.45,0.4,0.34,0.34,0.32,0.29,0.26,0.22,0.19,0.17,0.13,0.09,0.08,0.08,0.1,0.11,0.11,0.2
"4",0.95,0.95,0.94,0.95,0.95,0.98,0.92,0.94,0.98,1,1,1,0.97,0.93,0.9,0.86,0.8,0.74,0.99
"5",0.95,0.94,0.94,0.96,0.95,0.9,0.84,0.67,0.53,0.38,0.25,0.14,0.1,0.07,0.06,0.06,0.02,0.02,0.23
"6",0.27,0.21,0.19,0.14,0.14,0.13,0.14,0.14,0.16,0.23,0.34,0.49,0.71,0.94,0.99,1,0.94,0.85,0.31
"7",0.38,0.37,0.28,0.28,0.24,0.24,0.21,0.2,0.19,0.18,0.15,0.13,0.12,0.12,0.1,0.11,0.12,0.14,0.14
"8",0.18,0.14,0.11,0.09,0.06,0.04,0.02,0.02,0.01,0.02,0.02,0.04,0.06,0.1,0.13,0.21,0.27,0.36,0.02
"9",0.37,0.31,0.18,0.16,0.13,0.11,0.12,0.13,0.17,0.24,0.35,0.49,0.65,0.79,0.83,0.82,0.8,0.78,0.27
"10",0.3,0.21,0.13,0.09,0.05,0.02,0.02,0.02,0.03,0.02,0.04,0.04,0.06,0.13,0.24,0.27,0.32,0.39,0.04
"11",0.55,0.52,0.55,0.57,0.52,0.47,0.44,0.43,0.41,0.4,0.4,0.43,0.45,0.45,0.43,0.4,0.39,0.42,0.51
"12",0.49,0.46,0.41,0.39,0.38,0.37,0.39,0.43,0.42,0.44,0.52,0.56,0.56,0.56,0.52,0.51,0.47,0.38,0.46
"13",0.83,0.83,0.79,0.71,0.6,0.52,0.45,0.36,0.29,0.26,0.26,0.26,0.29,0.33,0.35,0.42,0.44,0.45,0.41
"14",0.88,0.86,0.83,0.72,0.67,0.51,0.38,0.31,0.25,0.22,0.19,0.14,0.13,0.1,0.11,0.09,0.1,0.12,0.26
"15",0.74,0.69,0.67,0.7,0.78,0.83,0.94,1,0.89,0.76,0.57,0.38,0.3,0.18,0.11,0.07,0.05,0.01,0.48
"16",0.78,0.77,0.8,0.8,0.8,0.81,0.8,0.82,0.85,0.92,0.9,0.86,0.78,0.77,0.74,0.77,0.74,0.71,0.96
"17",0.08,0.05,0.04,0.03,0.02,0.03,0.02,0.03,0.05,0.05,0.08,0.19,0.27,0.4,0.54,0.63,0.78,0.86,0.08
"18",0.22,0.19,0.18,0.2,0.2,0.18,0.19,0.22,0.27,0.31,0.39,0.46,0.49,0.48,0.49,0.56,0.55,0.58,0.34
"19",0.23,0.25,0.27,0.29,0.3,0.38,0.43,0.47,0.45,0.43,0.33,0.3,0.25,0.22,0.21,0.17,0.2,0.22,0.29
"20",0.7,0.76,0.81,0.85,0.92,0.94,0.94,0.86,0.71,0.59,0.51,0.41,0.39,0.38,0.42,0.44,0.46,0.49,0.75
"21",0.83,0.83,0.82,0.78,0.75,0.65,0.66,0.64,0.61,0.57,0.53,0.54,0.48,0.41,0.35,0.25,0.25,0.21,0.68
"22",0.99,0.98,0.96,0.93,0.82,0.73,0.59,0.5,0.39,0.25,0.22,0.18,0.17,0.18,0.19,0.22,0.23,0.24,0.39
"23",0.01,0.01,0.02,0.07,0.17,0.28,0.39,0.51,0.65,0.65,0.66,0.56,0.44,0.39,0.39,0.36,0.35,0.33,0.26
"24",0,0,0,0,0,0.01,0.03,0.03,0.03,0.04,0.07,0.13,0.17,0.27,0.37,0.46,0.57,0.65,0.03
"25",0.38,0.4,0.44,0.47,0.48,0.5,0.53,0.56,0.62,0.62,0.59,0.49,0.37,0.31,0.27,0.26,0.23,0.2,0.5
"26",0.63,0.63,0.63,0.59,0.63,0.63,0.63,0.72,0.81,0.86,0.92,0.95,0.96,0.95,0.91,0.91,0.93,0.94,0.95
"27",0.59,0.63,0.67,0.75,0.85,0.9,0.94,0.94,0.88,0.8,0.68,0.59,0.48,0.47,0.42,0.41,0.42,0.43,0.8
"28",0.57,0.61,0.69,0.76,0.83,0.89,0.89,0.85,0.84,0.78,0.73,0.7,0.71,0.74,0.78,0.8,0.81,0.87,0.88
"29",0.55,0.43,0.34,0.25,0.19,0.17,0.13,0.12,0.15,0.15,0.2,0.26,0.32,0.46,0.59,0.71,0.78,0.84,0.26
"30",0.84,0.85,0.82,0.81,0.74,0.7,0.64,0.53,0.41,0.33,0.23,0.15,0.09,0.07,0.05,0.05,0.05,0.06,0.26
"31",0.54,0.49,0.52,0.52,0.52,0.54,0.52,0.48,0.47,0.42,0.41,0.37,0.32,0.27,0.23,0.21,0.19,0.15,0.38
"32",0.42,0.43,0.39,0.33,0.32,0.32,0.27,0.24,0.21,0.2,0.21,0.18,0.16,0.13,0.09,0.08,0.05,0.07,0.19
"33",0.42,0.36,0.32,0.28,0.27,0.24,0.17,0.17,0.13,0.1,0.07,0.08,0.07,0.09,0.09,0.09,0.09,0.08,0.11
"34",0.83,0.8,0.76,0.63,0.51,0.31,0.22,0.13,0.08,0.04,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.06,0.05
"35",0.61,0.61,0.63,0.64,0.67,0.67,0.67,0.59,0.5,0.36,0.23,0.12,0.07,0.05,0.03,0.02,0,0,0.15
"36",0.5,0.35,0.22,0.16,0.08,0.07,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.08,0.1,0.13,0.02
"37",0.36,0.38,0.41,0.43,0.5,0.56,0.7,0.78,0.88,0.91,0.91,0.87,0.83,0.77,0.66,0.65,0.64,0.61,0.79
"38",0.95,0.96,0.97,0.94,0.91,0.86,0.79,0.78,0.78,0.73,0.7,0.63,0.56,0.46,0.32,0.22,0.16,0.13,0.71
"39",0.5,0.45,0.38,0.35,0.28,0.24,0.17,0.12,0.11,0.1,0.08,0.08,0.08,0.08,0.09,0.12,0.15,0.17,0.12
"40",0.34,0.34,0.32,0.32,0.31,0.28,0.28,0.28,0.3,0.25,0.22,0.18,0.14,0.12,0.07,0.07,0.06,0.04,0.18
"41",0.41,0.35,0.24,0.2,0.18,0.12,0.08,0.05,0.08,0.09,0.09,0.14,0.16,0.21,0.25,0.27,0.33,0.36,0.11
"42",0.58,0.55,0.51,0.49,0.45,0.4,0.32,0.25,0.27,0.33,0.36,0.36,0.43,0.48,0.53,0.63,0.71,0.79,0.45
"43",0.2,0.3,0.37,0.4,0.44,0.47,0.53,0.58,0.63,0.69,0.74,0.81,0.84,0.87,0.89,0.91,0.92,0.91,0.71
"44",0.98,0.99,0.99,0.95,0.91,0.82,0.72,0.55,0.39,0.25,0.19,0.15,0.12,0.1,0.09,0.11,0.11,0.14,0.31
"45",0.3,0.33,0.37,0.42,0.47,0.52,0.56,0.57,0.58,0.56,0.49,0.45,0.42,0.34,0.31,0.27,0.25,0.23,0.52
"46",0.1,0.09,0.11,0.13,0.18,0.26,0.33,0.42,0.48,0.57,0.63,0.62,0.66,0.65,0.61,0.62,0.64,0.64,0.36
"47",0.7,0.68,0.65,0.69,0.71,0.75,0.8,0.92,0.97,0.97,0.91,0.82,0.74,0.64,0.55,0.49,0.4,0.31,0.84
"48",0.68,0.78,0.87,0.95,0.98,0.95,0.78,0.6,0.49,0.4,0.3,0.21,0.14,0.13,0.12,0.16,0.21,0.25,0.47
"49",0.21,0.18,0.14,0.14,0.11,0.07,0.05,0.06,0.06,0.08,0.08,0.12,0.17,0.21,0.24,0.26,0.32,0.34,0.08
"50",0.92,0.96,0.97,0.96,0.96,0.94,0.95,0.9,0.77,0.66,0.53,0.39,0.26,0.12,0.05,0.03,0.03,0.02,0.48
"51",0.64,0.71,0.72,0.74,0.74,0.73,0.73,0.77,0.77,0.76,0.68,0.56,0.47,0.41,0.34,0.35,0.32,0.32,0.68
"52",0.1,0.08,0.05,0.03,0.03,0.02,0.02,0.05,0.05,0.05,0.07,0.08,0.11,0.17,0.18,0.24,0.25,0.26,0.06
"53",0.57,0.5,0.45,0.3,0.16,0.1,0.08,0.06,0.05,0.05,0.07,0.08,0.08,0.09,0.11,0.12,0.14,0.18,0.08
"54",0.74,0.68,0.59,0.5,0.42,0.36,0.33,0.31,0.32,0.31,0.28,0.32,0.34,0.38,0.4,0.47,0.51,0.52,0.38
"55",0.45,0.35,0.26,0.19,0.15,0.1,0.06,0.05,0.03,0.01,0.02,0.03,0.05,0.07,0.08,0.09,0.1,0.14,0.05
"56",0.42,0.33,0.24,0.16,0.1,0.04,0.03,0.03,0.04,0.06,0.14,0.21,0.36,0.5,0.66,0.71,0.75,0.79,0.15
"57",0.95,0.99,1,1,0.96,0.92,0.75,0.62,0.45,0.31,0.16,0.1,0.04,0.02,0.02,0.02,0.02,0.02,0.15
"58",0.11,0.18,0.35,0.46,0.62,0.75,0.77,0.63,0.5,0.4,0.32,0.27,0.25,0.25,0.26,0.26,0.24,0.27,0.3
"59",0.65,0.61,0.59,0.55,0.51,0.47,0.49,0.49,0.49,0.5,0.55,0.55,0.55,0.62,0.6,0.58,0.55,0.52,0.64
"60",0.42,0.33,0.25,0.18,0.09,0.05,0.04,0.04,0.03,0.04,0.04,0.1,0.16,0.21,0.38,0.56,0.77,0.9,0.07
"61",0.69,0.71,0.74,0.8,0.81,0.79,0.67,0.6,0.46,0.31,0.21,0.12,0.04,0.03,0.03,0.02,0.02,0.02,0.17
"62",0.18,0.16,0.13,0.11,0.09,0.1,0.13,0.12,0.13,0.16,0.21,0.25,0.28,0.35,0.37,0.39,0.41,0.44,0.16
"63",1,0.99,0.9,0.85,0.69,0.6,0.43,0.25,0.17,0.1,0.07,0.04,0.07,0.07,0.07,0.12,0.14,0.16,0.18
"64",0.44,0.44,0.44,0.43,0.45,0.44,0.48,0.55,0.59,0.65,0.74,0.79,0.88,0.86,0.85,0.85,0.83,0.83,0.71
"65",0.73,0.67,0.6,0.55,0.53,0.53,0.53,0.57,0.55,0.61,0.64,0.71,0.71,0.74,0.76,0.76,0.74,0.73,0.75
"66",0.15,0.16,0.18,0.2,0.22,0.24,0.27,0.29,0.36,0.44,0.49,0.55,0.61,0.63,0.69,0.68,0.67,0.67,0.36
"67",0.41,0.39,0.33,0.25,0.2,0.13,0.12,0.11,0.1,0.09,0.14,0.19,0.28,0.42,0.51,0.6,0.72,0.75,0.21
"68",0.4,0.49,0.56,0.62,0.65,0.65,0.69,0.65,0.56,0.42,0.36,0.23,0.15,0.11,0.1,0.11,0.12,0.13,0.29
"69",0.16,0.1,0.05,0.04,0.04,0.03,0.01,0,0,0.03,0.04,0.08,0.11,0.17,0.22,0.26,0.37,0.48,0.03
"70",0.28,0.25,0.22,0.2,0.16,0.12,0.1,0.05,0.04,0.04,0.05,0.06,0.06,0.07,0.11,0.12,0.15,0.15,0.05
"71",0.82,0.78,0.71,0.63,0.56,0.47,0.4,0.37,0.36,0.34,0.3,0.33,0.39,0.45,0.52,0.57,0.62,0.66,0.53
"72",0.68,0.65,0.56,0.54,0.41,0.33,0.27,0.2,0.17,0.16,0.18,0.17,0.17,0.16,0.2,0.23,0.25,0.23,0.22
"73",0.19,0.08,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.09,0.12,0.16,0.2,0.02
"74",0.09,0.04,0.04,0.02,0.01,0.01,0,0,0,0.01,0.02,0.02,0.03,0.04,0.08,0.12,0.14,0.14,0
"75",0.4,0.31,0.22,0.16,0.09,0.05,0.03,0.01,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0
"76",0.77,0.68,0.59,0.53,0.44,0.43,0.38,0.37,0.39,0.43,0.49,0.56,0.58,0.57,0.56,0.55,0.57,0.54,0.55
"77",0.15,0.21,0.24,0.33,0.42,0.53,0.55,0.53,0.42,0.33,0.23,0.14,0.08,0.06,0.06,0.06,0.08,0.09,0.19
"78",0.04,0.04,0.05,0.03,0.03,0.04,0.05,0.06,0.07,0.09,0.1,0.14,0.16,0.18,0.26,0.32,0.4,0.47,0.06
"79",0.33,0.31,0.3,0.29,0.25,0.2,0.15,0.16,0.12,0.1,0.08,0.06,0.06,0.06,0.04,0.03,0.02,0.02,0.07
"80",0.19,0.15,0.15,0.12,0.14,0.14,0.16,0.17,0.18,0.21,0.23,0.35,0.34,0.42,0.46,0.45,0.48,0.46,0.18
"81",0.07,0.04,0.04,0.03,0.04,0.06,0.08,0.08,0.17,0.27,0.45,0.67,0.79,0.95,0.98,0.97,0.9,0.77,0.22
"82",0.23,0.24,0.24,0.24,0.25,0.28,0.31,0.38,0.45,0.52,0.58,0.59,0.6,0.62,0.63,0.66,0.69,0.67,0.47
"83",0.2,0.17,0.12,0.12,0.1,0.1,0.06,0.04,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.11,0.14,0.16,0.01
"84",0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.08,0.16,0.29,0.44,0.53,0.67,0.88,0.92,0.02
"85",0.06,0.03,0.02,0.02,0.02,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0.06,0.07,0.1,0
"86",0.24,0.21,0.19,0.17,0.18,0.15,0.17,0.17,0.21,0.28,0.3,0.39,0.5,0.57,0.64,0.69,0.77,0.84,0.28
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.03,0.04,0.07,0
"88",0.77,0.81,0.88,0.94,0.94,0.96,0.94,0.91,0.87,0.78,0.72,0.69,0.65,0.71,0.75,0.75,0.8,0.8,0.95
"89",0.14,0.14,0.17,0.18,0.22,0.28,0.3,0.4,0.48,0.64,0.71,0.88,0.93,0.98,0.99,0.97,0.88,0.85,0.51
"90",0.38,0.31,0.28,0.19,0.15,0.12,0.12,0.09,0.08,0.09,0.06,0.07,0.08,0.12,0.17,0.24,0.28,0.32,0.14
"91",0.63,0.6,0.55,0.51,0.47,0.42,0.37,0.35,0.31,0.27,0.22,0.2,0.19,0.17,0.18,0.15,0.14,0.14,0.25
"92",0.2,0.16,0.13,0.09,0.08,0.08,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.02,0.02,0.01
"93",0.05,0.01,0,0,0,0.02,0.02,0.02,0.04,0.05,0.06,0.07,0.06,0.07,0.07,0.09,0.14,0.19,0.03
"94",0.37,0.29,0.19,0.1,0.07,0.03,0.01,0,0,0,0,0,0.03,0.04,0.08,0.13,0.2,0.24,0.02
"95",0.56,0.57,0.55,0.56,0.58,0.63,0.68,0.71,0.71,0.73,0.74,0.75,0.71,0.7,0.71,0.76,0.76,0.79,0.78
"96",0.09,0.07,0.05,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0
"97",0.16,0.18,0.2,0.22,0.28,0.36,0.49,0.52,0.57,0.63,0.66,0.64,0.67,0.68,0.71,0.72,0.7,0.65,0.52
"98",0.9,0.93,0.93,0.95,0.96,0.96,0.97,0.8,0.73,0.59,0.49,0.36,0.26,0.18,0.12,0.11,0.1,0.09,0.53
"99",0.18,0.17,0.18,0.17,0.18,0.19,0.24,0.26,0.31,0.31,0.34,0.34,0.3,0.25,0.19,0.17,0.14,0.1,0.17
"100",0.94,0.88,0.87,0.83,0.8,0.75,0.73,0.69,0.68,0.72,0.7,0.69,0.69,0.71,0.72,0.74,0.74,0.8,0.88
"101",0.03,0.05,0.07,0.08,0.1,0.13,0.24,0.35,0.52,0.73,0.86,0.88,0.81,0.69,0.59,0.49,0.39,0.35,0.31
"102",0.58,0.67,0.75,0.84,0.88,0.95,0.94,0.92,0.83,0.72,0.71,0.63,0.57,0.57,0.65,0.68,0.73,0.84,0.92
"103",0.23,0.18,0.14,0.09,0.07,0.06,0.07,0.07,0.08,0.06,0.05,0.07,0.07,0.09,0.09,0.1,0.08,0.08,0.04
"104",0.23,0.21,0.21,0.22,0.23,0.27,0.33,0.35,0.38,0.39,0.41,0.38,0.36,0.33,0.35,0.35,0.36,0.38,0.34
"105",0.14,0.14,0.14,0.17,0.18,0.2,0.19,0.22,0.25,0.24,0.28,0.28,0.26,0.25,0.23,0.23,0.23,0.26,0.18
"106",0.4,0.35,0.27,0.19,0.17,0.13,0.12,0.13,0.13,0.12,0.13,0.16,0.23,0.24,0.29,0.34,0.41,0.46,0.18
"107",0.26,0.25,0.24,0.27,0.29,0.3,0.33,0.33,0.34,0.3,0.23,0.16,0.09,0.06,0.05,0.04,0.03,0.02,0.11
"108",0.14,0.11,0.08,0.08,0.04,0.05,0.05,0.06,0.06,0.09,0.12,0.19,0.25,0.33,0.44,0.52,0.65,0.74,0.09
"109",0.85,0.9,0.91,0.94,0.93,0.95,0.95,0.95,0.93,0.87,0.83,0.81,0.74,0.66,0.61,0.58,0.55,0.5,0.94
"110",0.34,0.29,0.28,0.23,0.17,0.17,0.14,0.15,0.12,0.11,0.13,0.16,0.17,0.16,0.22,0.23,0.25,0.25,0.11
"111",0.31,0.29,0.29,0.3,0.32,0.39,0.48,0.55,0.64,0.76,0.72,0.71,0.63,0.59,0.55,0.5,0.42,0.39,0.53
"112",0.69,0.68,0.64,0.61,0.54,0.47,0.41,0.27,0.18,0.1,0.07,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.17
"113",0.93,0.89,0.76,0.58,0.48,0.38,0.34,0.33,0.3,0.29,0.34,0.36,0.38,0.39,0.42,0.44,0.49,0.5,0.46
"114",0.09,0.07,0.07,0.11,0.17,0.23,0.31,0.46,0.64,0.77,0.87,0.99,1,0.98,0.93,0.87,0.81,0.77,0.54
"115",0.18,0.24,0.3,0.34,0.44,0.54,0.62,0.72,0.81,0.85,0.82,0.81,0.77,0.73,0.67,0.57,0.53,0.46,0.65
"116",0.66,0.67,0.71,0.75,0.81,0.83,0.85,0.83,0.74,0.63,0.56,0.4,0.31,0.26,0.2,0.16,0.15,0.15,0.56
"117",0.11,0.11,0.11,0.15,0.14,0.18,0.25,0.33,0.46,0.62,0.72,0.82,0.88,0.96,0.97,0.96,0.97,0.94,0.42
"118",0.46,0.46,0.54,0.64,0.67,0.72,0.75,0.74,0.71,0.58,0.49,0.38,0.26,0.22,0.15,0.13,0.1,0.09,0.41
"119",0.42,0.39,0.34,0.29,0.22,0.18,0.17,0.13,0.13,0.11,0.1,0.1,0.13,0.19,0.25,0.33,0.38,0.46,0.14
"120",0.13,0.12,0.1,0.08,0.1,0.1,0.1,0.11,0.15,0.14,0.13,0.15,0.19,0.25,0.28,0.3,0.36,0.37,0.13
"121",0.61,0.63,0.63,0.68,0.75,0.85,0.91,0.96,0.96,0.94,0.9,0.86,0.8,0.74,0.67,0.64,0.65,0.62,0.9
"122",0.23,0.18,0.18,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.18,0.23,0.25,0.3,0.37,0.39,0.44,0.47,0.19
"123",0.63,0.62,0.65,0.62,0.63,0.64,0.64,0.61,0.6,0.62,0.65,0.7,0.73,0.79,0.83,0.82,0.8,0.77,0.83
"124",0.12,0.11,0.08,0.11,0.14,0.24,0.43,0.52,0.64,0.72,0.78,0.75,0.69,0.58,0.53,0.47,0.4,0.39,0.42
"125",1,1,1,1,1,1,1,0.98,0.96,0.85,0.7,0.57,0.53,0.44,0.34,0.25,0.21,0.2,0.74
"126",0.08,0.05,0.05,0.05,0.06,0.05,0.06,0.08,0.11,0.18,0.31,0.52,0.69,0.79,0.86,0.88,0.86,0.82,0.2
"127",0.91,0.94,0.96,0.97,1,1,0.99,1,0.99,0.97,0.97,0.95,0.94,0.94,0.93,0.93,0.92,0.91,1
"128",0.2,0.16,0.06,0.06,0.05,0.05,0.05,0.05,0.06,0.08,0.13,0.21,0.25,0.37,0.47,0.55,0.68,0.78,0.08
"129",0.14,0.12,0.08,0.1,0.06,0.07,0.06,0.08,0.12,0.15,0.22,0.33,0.45,0.52,0.65,0.75,0.84,0.84,0.19
"130",0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.07,0.08,0.12,0.18,0.25,0
"131",0.89,0.89,0.89,0.86,0.82,0.76,0.64,0.53,0.35,0.27,0.23,0.18,0.18,0.18,0.18,0.19,0.27,0.32,0.45
"132",0.03,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0.03,0.06,0.12,0.18,0.25,0.35,0.42,0
"133",0.14,0.14,0.19,0.26,0.37,0.46,0.58,0.69,0.79,0.86,0.91,0.94,0.98,0.99,0.99,0.98,0.99,0.97,0.74
"134",0.18,0.14,0.12,0.11,0.1,0.09,0.1,0.15,0.19,0.23,0.32,0.39,0.41,0.37,0.33,0.3,0.23,0.17,0.16
"135",0.42,0.37,0.36,0.33,0.35,0.29,0.25,0.24,0.22,0.22,0.19,0.15,0.13,0.12,0.11,0.12,0.12,0.14,0.19
"136",0.2,0.11,0.1,0.06,0.06,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.09,0.15,0.16,0.22,0.26,0.27,0.04
"137",0.22,0.15,0.1,0.03,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0
"138",0.02,0.02,0.02,0.01,0.02,0.02,0.04,0.06,0.11,0.26,0.41,0.62,0.77,0.9,0.87,0.8,0.72,0.64,0.07
"139",0.12,0.1,0.08,0.06,0.03,0.02,0.02,0,0,0,0,0.02,0.03,0.06,0.07,0.12,0.19,0.24,0
"140",0.43,0.44,0.44,0.51,0.59,0.67,0.78,0.87,0.93,0.97,0.92,0.88,0.78,0.63,0.52,0.48,0.35,0.31,0.79
"141",0.79,0.73,0.72,0.68,0.64,0.66,0.69,0.69,0.73,0.79,0.86,0.93,0.95,0.95,0.89,0.88,0.82,0.75,0.91
"142",0.29,0.21,0.18,0.18,0.2,0.17,0.18,0.24,0.29,0.35,0.47,0.58,0.65,0.71,0.81,0.85,0.88,0.91,0.35
"143",0.07,0.05,0.03,0.02,0.02,0,0,0,0,0,0,0,0.02,0.05,0.08,0.13,0.17,0.18,0
"144",0.83,0.86,0.88,0.92,0.95,0.97,0.98,0.96,0.94,0.93,0.88,0.8,0.76,0.68,0.66,0.63,0.62,0.62,0.94
"145",0.1,0.09,0.05,0.05,0.06,0.04,0.03,0.03,0.02,0.01,0,0,0,0,0,0.01,0.02,0.02,0.01
"146",0.5,0.42,0.33,0.26,0.25,0.2,0.21,0.33,0.39,0.52,0.63,0.82,0.89,0.97,1,1,0.96,0.93,0.62
"147",0.6,0.47,0.36,0.3,0.21,0.16,0.13,0.15,0.21,0.23,0.3,0.38,0.48,0.52,0.56,0.6,0.64,0.65,0.34
"148",0.01,0,0,0,0,0,0.03,0.06,0.09,0.19,0.33,0.47,0.59,0.69,0.74,0.76,0.74,0.64,0.09
"149",0.53,0.49,0.43,0.4,0.37,0.29,0.21,0.19,0.15,0.13,0.11,0.1,0.09,0.06,0.07,0.07,0.08,0.08,0.1
"150",0.18,0.13,0.07,0.04,0.02,0.02,0.02,0.03,0.07,0.09,0.13,0.16,0.19,0.21,0.24,0.22,0.25,0.26,0.08
"151",0.5,0.45,0.4,0.31,0.28,0.29,0.24,0.25,0.25,0.28,0.3,0.31,0.29,0.28,0.3,0.3,0.24,0.22,0.28
"152",0.17,0.14,0.15,0.13,0.1,0.08,0.09,0.08,0.09,0.1,0.13,0.17,0.22,0.23,0.28,0.31,0.32,0.35,0.12
"153",0.12,0.1,0.1,0.09,0.07,0.07,0.06,0.08,0.08,0.1,0.09,0.08,0.1,0.12,0.15,0.15,0.14,0.14,0.1
"154",0.25,0.24,0.28,0.33,0.37,0.45,0.58,0.68,0.77,0.79,0.73,0.66,0.52,0.39,0.26,0.22,0.2,0.16,0.44
"155",0.68,0.77,0.81,0.87,0.92,0.96,0.95,0.85,0.77,0.66,0.51,0.43,0.33,0.21,0.19,0.17,0.11,0.11,0.63
"156",0.61,0.63,0.62,0.61,0.63,0.66,0.72,0.77,0.84,0.89,0.95,0.98,0.96,0.87,0.77,0.67,0.61,0.52,0.87
"157",1,0.98,0.98,0.98,0.98,0.97,0.95,0.94,0.92,0.89,0.89,0.86,0.83,0.79,0.71,0.69,0.66,0.61,0.98
