"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"4323",0.92,0.85,0.79,0.73,0.69,0.62,0.56,0.53,0.5,0.47,0.43,0.4,0.36,0.32,0.29,0.26,0.24,0.23,0.53
"4324",0.06,0.05,0.02,0,0,0,0,0,0,0,0,0.01,0.04,0.06,0.13,0.23,0.33,0.46,0
"4325",0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.07,0.09,0.12,0.12,0.13,0.16,0.18,0.01
"4326",0.58,0.48,0.42,0.34,0.24,0.16,0.12,0.1,0.08,0.1,0.15,0.21,0.24,0.34,0.4,0.49,0.55,0.64,0.18
"4327",0.7,0.69,0.69,0.64,0.64,0.63,0.6,0.52,0.43,0.41,0.38,0.4,0.4,0.44,0.49,0.52,0.51,0.52,0.58
"4328",0.51,0.52,0.5,0.46,0.42,0.4,0.36,0.37,0.37,0.34,0.29,0.27,0.24,0.24,0.2,0.22,0.24,0.26,0.32
"4329",0.05,0.02,0.01,0,0,0,0,0,0,0,0,0.01,0.02,0.06,0.12,0.19,0.31,0.36,0
"4330",0.36,0.43,0.48,0.56,0.67,0.81,0.88,0.85,0.73,0.61,0.42,0.27,0.15,0.07,0.05,0.03,0.03,0.03,0.28
"4331",0.24,0.21,0.18,0.11,0.12,0.14,0.16,0.17,0.31,0.35,0.53,0.66,0.78,0.78,0.72,0.68,0.53,0.41,0.35
"4332",0.36,0.34,0.32,0.3,0.3,0.31,0.32,0.37,0.4,0.46,0.5,0.57,0.61,0.56,0.55,0.53,0.49,0.47,0.48
"4333",0.71,0.69,0.61,0.48,0.45,0.32,0.29,0.26,0.26,0.27,0.28,0.31,0.33,0.37,0.43,0.46,0.51,0.58,0.4
"4334",0.14,0.11,0.08,0.06,0.04,0.03,0.02,0.02,0.01,0,0,0,0,0,0.01,0.03,0.05,0.09,0.01
"4335",0.57,0.49,0.44,0.37,0.32,0.28,0.28,0.23,0.24,0.22,0.24,0.26,0.28,0.35,0.45,0.53,0.64,0.69,0.36
"4336",0.49,0.37,0.32,0.26,0.2,0.12,0.11,0.12,0.13,0.17,0.19,0.21,0.28,0.37,0.44,0.48,0.52,0.6,0.23
"4337",0.27,0.24,0.2,0.19,0.19,0.16,0.19,0.21,0.25,0.26,0.36,0.33,0.31,0.24,0.14,0.11,0.1,0.1,0.17
"4338",0.28,0.28,0.33,0.39,0.47,0.51,0.53,0.51,0.43,0.35,0.29,0.25,0.23,0.24,0.29,0.34,0.39,0.47,0.34
"4339",0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.05,0.09,0.1,0
"4340",0.16,0.14,0.14,0.18,0.17,0.2,0.23,0.33,0.43,0.53,0.56,0.67,0.71,0.75,0.76,0.77,0.79,0.8,0.45
"4341",0.07,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0
"4342",0.41,0.34,0.28,0.27,0.26,0.25,0.24,0.27,0.38,0.42,0.5,0.58,0.64,0.68,0.69,0.73,0.71,0.66,0.48
"4343",0.48,0.44,0.44,0.45,0.49,0.59,0.73,0.86,0.99,0.98,0.87,0.61,0.44,0.25,0.14,0.09,0.06,0.05,0.37
"4344",0.4,0.37,0.32,0.28,0.26,0.23,0.19,0.19,0.14,0.11,0.12,0.13,0.15,0.13,0.17,0.21,0.27,0.37,0.16
