"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.74,0.77,0.88,0.96,0.98,0.97,0.9,0.81,0.71,0.57,0.43,0.4,0.37,0.37,0.37,0.43,0.43,0.44,0.7
"2",0.24,0.19,0.16,0.12,0.11,0.12,0.14,0.22,0.28,0.39,0.5,0.64,0.74,0.86,0.89,0.89,0.91,0.86,0.36
"3",0.21,0.21,0.23,0.29,0.38,0.54,0.67,0.88,0.95,1,0.96,0.9,0.74,0.62,0.54,0.5,0.47,0.48,0.68
"4",0.13,0.11,0.13,0.15,0.15,0.19,0.2,0.28,0.31,0.38,0.45,0.5,0.58,0.6,0.64,0.64,0.64,0.7,0.3
"5",0.2,0.2,0.18,0.19,0.2,0.2,0.28,0.31,0.38,0.42,0.48,0.64,0.72,0.83,0.84,0.86,0.9,0.93,0.44
"6",0.58,0.52,0.42,0.37,0.29,0.24,0.2,0.13,0.1,0.06,0.05,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.03
"7",0.36,0.3,0.28,0.24,0.24,0.27,0.27,0.29,0.28,0.28,0.27,0.26,0.28,0.3,0.32,0.34,0.36,0.39,0.24
"8",0.48,0.36,0.26,0.18,0.13,0.11,0.08,0.07,0.04,0.03,0.03,0.02,0.04,0.07,0.09,0.12,0.11,0.11,0.06
"9",0.2,0.19,0.11,0.1,0.08,0.07,0.05,0.04,0.03,0.01,0,0,0,0.01,0.01,0.01,0.03,0.04,0.01
"10",0.97,1,1,1,0.99,0.96,0.91,0.67,0.51,0.37,0.22,0.12,0.07,0.02,0.02,0,0,0,0.27
"11",0.52,0.47,0.43,0.37,0.32,0.32,0.3,0.32,0.29,0.27,0.24,0.26,0.26,0.23,0.23,0.24,0.24,0.22,0.31
"12",0.51,0.38,0.36,0.29,0.25,0.18,0.15,0.13,0.13,0.14,0.15,0.15,0.15,0.13,0.08,0.07,0.09,0.1,0.14
"13",0.67,0.68,0.71,0.75,0.8,0.85,0.9,0.92,0.85,0.74,0.61,0.46,0.34,0.28,0.2,0.17,0.13,0.1,0.54
"14",0.33,0.36,0.38,0.36,0.39,0.45,0.46,0.48,0.48,0.46,0.44,0.46,0.42,0.39,0.39,0.35,0.35,0.36,0.4
"15",0.12,0.09,0.08,0.08,0.08,0.08,0.1,0.1,0.13,0.17,0.24,0.28,0.38,0.56,0.65,0.76,0.8,0.8,0.21
"16",0.11,0.11,0.08,0.06,0.08,0.1,0.09,0.13,0.21,0.32,0.46,0.59,0.76,0.9,0.94,1,1,0.97,0.27
"17",0.38,0.31,0.25,0.2,0.16,0.12,0.07,0.04,0.03,0,0,0,0,0,0,0.01,0.02,0.03,0
"18",0.57,0.52,0.44,0.35,0.27,0.22,0.2,0.19,0.23,0.27,0.32,0.36,0.41,0.45,0.47,0.45,0.45,0.44,0.31
"19",0,0,0,0,0,0,0,0.02,0.04,0.05,0.14,0.21,0.27,0.35,0.42,0.51,0.6,0.64,0.06
"20",0.5,0.52,0.55,0.62,0.62,0.62,0.64,0.64,0.66,0.66,0.71,0.7,0.77,0.86,0.92,0.96,0.97,0.97,0.8
"21",0.27,0.3,0.33,0.39,0.5,0.54,0.71,0.82,0.9,0.95,0.96,0.95,0.95,0.96,0.91,0.88,0.86,0.86,0.88
"22",0.27,0.29,0.31,0.31,0.36,0.4,0.45,0.56,0.68,0.83,0.96,0.99,1,0.95,0.86,0.81,0.74,0.67,0.64
"23",0.01,0.01,0,0,0,0,0,0,0,0,0.02,0.07,0.13,0.21,0.36,0.48,0.57,0.61,0
"24",0.58,0.5,0.42,0.3,0.23,0.15,0.06,0.04,0.01,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01
"25",0.46,0.39,0.35,0.32,0.28,0.25,0.23,0.23,0.27,0.32,0.39,0.46,0.55,0.73,0.84,0.93,0.96,0.99,0.47
"26",0.79,0.75,0.71,0.68,0.66,0.63,0.59,0.59,0.6,0.56,0.51,0.48,0.48,0.49,0.48,0.51,0.51,0.54,0.63
"27",0.11,0.14,0.15,0.18,0.23,0.24,0.26,0.33,0.34,0.49,0.6,0.73,0.82,0.91,0.98,1,0.99,0.96,0.46
"28",0.98,0.93,0.89,0.84,0.77,0.66,0.52,0.48,0.47,0.45,0.47,0.51,0.55,0.59,0.61,0.64,0.63,0.61,0.71
"29",0.98,0.97,0.96,0.95,0.84,0.76,0.63,0.55,0.43,0.26,0.17,0.1,0.07,0.05,0.03,0.02,0.02,0.03,0.24
"30",0.09,0.09,0.09,0.11,0.14,0.16,0.21,0.3,0.46,0.62,0.73,0.8,0.91,0.99,0.99,0.93,0.88,0.84,0.43
"31",0.35,0.37,0.41,0.45,0.59,0.71,0.86,0.91,1,0.99,0.97,0.91,0.84,0.78,0.78,0.75,0.74,0.75,0.87
"32",0.25,0.25,0.29,0.3,0.3,0.36,0.42,0.43,0.44,0.46,0.48,0.51,0.53,0.58,0.57,0.6,0.61,0.6,0.43
"33",0.67,0.56,0.47,0.45,0.37,0.31,0.28,0.29,0.25,0.16,0.11,0.07,0.07,0.07,0.07,0.05,0.04,0.04,0.14
"34",0.46,0.54,0.58,0.65,0.69,0.7,0.7,0.69,0.63,0.62,0.54,0.44,0.38,0.31,0.27,0.23,0.2,0.14,0.52
"35",0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.08,0.09,0.12,0.15,0.2,0.33,0.35,0.46,0.53,0.56,0.06
"36",0.46,0.49,0.51,0.52,0.53,0.55,0.57,0.53,0.5,0.42,0.34,0.23,0.15,0.08,0.07,0.05,0.06,0.05,0.3
"37",0.61,0.52,0.47,0.4,0.31,0.25,0.2,0.19,0.22,0.2,0.2,0.24,0.26,0.33,0.41,0.52,0.58,0.68,0.28
"38",0.51,0.44,0.42,0.38,0.38,0.4,0.39,0.38,0.36,0.38,0.37,0.34,0.32,0.3,0.26,0.23,0.26,0.31,0.37
"39",0.76,0.84,0.88,0.91,0.98,1,0.95,0.89,0.87,0.77,0.67,0.58,0.49,0.45,0.42,0.41,0.41,0.46,0.83
"40",0.16,0.13,0.07,0.06,0.04,0.03,0.04,0.04,0.04,0.08,0.09,0.16,0.19,0.26,0.3,0.32,0.33,0.35,0.06
"41",0.75,0.76,0.74,0.71,0.71,0.7,0.7,0.67,0.63,0.55,0.46,0.35,0.31,0.18,0.14,0.12,0.11,0.11,0.48
"42",0.92,0.89,0.86,0.81,0.74,0.64,0.56,0.52,0.47,0.43,0.4,0.37,0.37,0.37,0.39,0.37,0.37,0.36,0.51
"43",0.86,0.8,0.79,0.77,0.76,0.71,0.68,0.67,0.66,0.58,0.54,0.49,0.42,0.4,0.35,0.32,0.32,0.32,0.66
"44",0.17,0.22,0.27,0.33,0.44,0.54,0.64,0.73,0.87,0.93,1,1,0.97,0.92,0.86,0.84,0.77,0.73,0.74
"45",0.33,0.29,0.23,0.16,0.15,0.11,0.07,0.08,0.13,0.15,0.19,0.28,0.35,0.38,0.5,0.57,0.62,0.61,0.18
"46",0.33,0.31,0.16,0.09,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.09,0.11,0.11,0.14,0.13,0.17,0.07
"47",0.01,0.01,0.01,0,0,0,0,0.02,0.03,0.07,0.1,0.19,0.31,0.41,0.55,0.63,0.67,0.74,0.02
"48",0.1,0.17,0.21,0.23,0.32,0.4,0.51,0.64,0.74,0.8,0.95,0.99,1,0.99,0.94,0.85,0.8,0.72,0.63
"49",0.25,0.19,0.15,0.1,0.1,0.06,0.05,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.01
"50",0.03,0.04,0.04,0.05,0.07,0.1,0.15,0.2,0.27,0.31,0.37,0.44,0.49,0.55,0.6,0.62,0.61,0.58,0.23
"51",0.54,0.55,0.52,0.53,0.49,0.49,0.48,0.52,0.48,0.49,0.51,0.59,0.61,0.64,0.7,0.7,0.74,0.74,0.63
"52",0.23,0.18,0.15,0.11,0.1,0.07,0.06,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.03
"53",0.25,0.28,0.3,0.36,0.39,0.39,0.42,0.41,0.4,0.33,0.27,0.17,0.09,0.07,0.06,0.04,0.04,0.04,0.17
"54",0.85,0.87,0.86,0.86,0.85,0.8,0.78,0.74,0.68,0.62,0.52,0.47,0.4,0.38,0.33,0.32,0.31,0.3,0.66
"55",0.38,0.41,0.42,0.38,0.34,0.32,0.3,0.27,0.22,0.17,0.12,0.1,0.07,0.06,0.06,0.06,0.08,0.11,0.16
