"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.87,0.86,0.83,0.84,0.82,0.77,0.65,0.52,0.42,0.29,0.2,0.17,0.13,0.11,0.13,0.13,0.15,0.14,0.35
"2",0.66,0.63,0.57,0.54,0.48,0.48,0.49,0.53,0.55,0.64,0.64,0.72,0.74,0.79,0.81,0.83,0.84,0.84,0.74
"3",0.55,0.53,0.48,0.44,0.4,0.41,0.39,0.41,0.46,0.56,0.63,0.7,0.75,0.81,0.82,0.84,0.87,0.86,0.71
"4",0.15,0.2,0.25,0.28,0.35,0.42,0.43,0.45,0.51,0.48,0.47,0.45,0.5,0.61,0.65,0.73,0.79,0.84,0.5
"5",0.48,0.44,0.34,0.28,0.25,0.25,0.23,0.19,0.17,0.15,0.16,0.15,0.14,0.18,0.21,0.24,0.22,0.21,0.15
"6",0.4,0.32,0.31,0.3,0.25,0.21,0.16,0.14,0.12,0.1,0.08,0.07,0.07,0.09,0.1,0.11,0.11,0.15,0.1
"7",0.61,0.59,0.54,0.47,0.4,0.3,0.21,0.13,0.08,0.07,0.03,0.02,0.02,0.02,0.03,0.05,0.05,0.04,0.06
"8",0.54,0.52,0.5,0.46,0.44,0.38,0.3,0.21,0.15,0.07,0.04,0.01,0,0,0,0,0,0.02,0.04
"9",0.76,0.7,0.66,0.58,0.5,0.38,0.35,0.29,0.24,0.21,0.18,0.22,0.22,0.25,0.31,0.4,0.5,0.6,0.35
"10",0.31,0.34,0.36,0.35,0.38,0.41,0.44,0.43,0.41,0.32,0.26,0.2,0.17,0.17,0.17,0.17,0.19,0.2,0.27
"11",0.44,0.48,0.48,0.56,0.63,0.73,0.79,0.8,0.81,0.75,0.71,0.63,0.59,0.48,0.41,0.29,0.2,0.13,0.63
"12",0.1,0.07,0.06,0.06,0.08,0.09,0.1,0.12,0.22,0.34,0.49,0.57,0.66,0.73,0.72,0.71,0.76,0.76,0.19
"13",0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.05,0.09,0.12,0.2,0.25,0.33,0.42,0.48,0.56,0.03
"14",0.72,0.66,0.64,0.61,0.58,0.56,0.54,0.51,0.45,0.39,0.36,0.34,0.31,0.31,0.3,0.32,0.33,0.34,0.44
"15",0.24,0.19,0.15,0.11,0.05,0.05,0.05,0.04,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.06,0.02
"16",0.46,0.48,0.52,0.56,0.6,0.62,0.64,0.66,0.64,0.64,0.64,0.67,0.72,0.76,0.8,0.87,0.92,0.94,0.84
