"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"10173",0.32,0.32,0.33,0.34,0.35,0.46,0.54,0.59,0.65,0.78,0.81,0.84,0.8,0.72,0.62,0.57,0.54,0.51,0.69
"10174",0.24,0.2,0.19,0.21,0.18,0.18,0.2,0.21,0.22,0.25,0.26,0.28,0.29,0.3,0.34,0.37,0.37,0.37,0.2
"10175",0.26,0.26,0.29,0.33,0.35,0.49,0.55,0.62,0.69,0.74,0.76,0.75,0.74,0.74,0.75,0.75,0.75,0.74,0.66
"10176",0,0,0,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.03,0.04,0.03,0.02,0.04,0.04,0.06,0.07,0.01
"10177",0.79,0.74,0.72,0.7,0.71,0.67,0.63,0.56,0.53,0.44,0.41,0.4,0.4,0.43,0.44,0.46,0.51,0.57,0.62
"10178",0.06,0.08,0.08,0.1,0.11,0.09,0.07,0.05,0.04,0.03,0.04,0.02,0.02,0.01,0.02,0.04,0.05,0.07,0.02
"10179",0.04,0.03,0.03,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.06,0.07,0.06,0.08,0.11,0.14,0.16,0.19,0.05
"10180",0.56,0.57,0.58,0.51,0.45,0.38,0.35,0.29,0.19,0.12,0.09,0.06,0.03,0.02,0.03,0.03,0.04,0.05,0.09
"10181",0.18,0.17,0.2,0.2,0.18,0.14,0.13,0.07,0.03,0.04,0.04,0.05,0.04,0.05,0.06,0.07,0.08,0.15,0.04
"10182",0.93,0.91,0.84,0.82,0.76,0.71,0.67,0.56,0.45,0.34,0.31,0.24,0.22,0.17,0.13,0.13,0.12,0.12,0.36
"10183",0.1,0.16,0.18,0.21,0.32,0.39,0.54,0.66,0.73,0.82,0.79,0.69,0.6,0.52,0.45,0.43,0.41,0.41,0.51
"10184",0.74,0.6,0.52,0.42,0.37,0.27,0.26,0.25,0.22,0.22,0.23,0.24,0.26,0.28,0.3,0.3,0.32,0.31,0.25
"10185",0.5,0.59,0.62,0.66,0.71,0.82,0.9,0.95,0.95,0.89,0.77,0.7,0.6,0.54,0.48,0.43,0.43,0.4,0.81
"10186",0.22,0.26,0.32,0.35,0.45,0.6,0.7,0.8,0.9,0.97,0.99,1,0.99,0.99,0.99,0.98,0.99,0.99,0.81
"10187",0.84,0.84,0.82,0.8,0.8,0.74,0.73,0.69,0.67,0.69,0.74,0.85,0.86,0.93,0.94,0.93,0.92,0.88,0.96
"10188",0.42,0.4,0.35,0.32,0.31,0.29,0.29,0.31,0.31,0.42,0.43,0.49,0.55,0.59,0.63,0.65,0.65,0.65,0.44
"10189",0.98,0.94,0.81,0.78,0.71,0.56,0.46,0.31,0.24,0.18,0.15,0.15,0.14,0.15,0.2,0.24,0.31,0.45,0.27
"10190",0.1,0.1,0.11,0.12,0.13,0.15,0.17,0.19,0.28,0.26,0.24,0.28,0.29,0.29,0.31,0.35,0.33,0.35,0.18
"10191",0.48,0.47,0.41,0.3,0.26,0.16,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.07,0.1,0.03
"10192",0.69,0.66,0.68,0.7,0.68,0.69,0.63,0.56,0.47,0.34,0.25,0.2,0.11,0.05,0.05,0.03,0.01,0.02,0.13
"10193",0.55,0.52,0.48,0.51,0.48,0.45,0.48,0.44,0.42,0.33,0.27,0.25,0.24,0.26,0.29,0.29,0.34,0.4,0.39
"10194",0.48,0.55,0.59,0.6,0.67,0.69,0.77,0.77,0.71,0.6,0.52,0.41,0.32,0.28,0.25,0.25,0.25,0.26,0.5
"10195",0.54,0.56,0.57,0.57,0.56,0.6,0.59,0.5,0.39,0.33,0.2,0.11,0.09,0.08,0.08,0.07,0.06,0.06,0.18
"10196",0.42,0.41,0.42,0.43,0.45,0.44,0.47,0.53,0.61,0.65,0.72,0.72,0.74,0.77,0.76,0.77,0.78,0.79,0.64
"10197",0.04,0.03,0.03,0.03,0.1,0.1,0.14,0.22,0.28,0.33,0.41,0.45,0.45,0.47,0.46,0.47,0.47,0.48,0.23
"10198",0.68,0.74,0.79,0.85,0.89,0.93,0.96,0.96,0.94,0.94,0.89,0.86,0.84,0.8,0.79,0.69,0.68,0.65,0.98
"10199",0.05,0.03,0.02,0.01,0.01,0,0.02,0.03,0.06,0.13,0.21,0.28,0.37,0.42,0.48,0.48,0.43,0.43,0.06
"10200",0.91,0.86,0.76,0.66,0.51,0.45,0.39,0.4,0.35,0.39,0.43,0.58,0.64,0.69,0.75,0.84,0.86,0.85,0.66
"10201",0.81,0.74,0.7,0.59,0.52,0.45,0.39,0.27,0.29,0.25,0.2,0.17,0.12,0.09,0.07,0.06,0.04,0.04,0.16
