"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"3412",0.51,0.49,0.38,0.34,0.3,0.23,0.15,0.11,0.1,0.1,0.05,0.05,0.04,0.04,0.03,0.05,0.07,0.09,0.09
"3413",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.06,0.09,0.13,0.18,0
"3414",0.1,0.07,0.05,0.04,0.03,0.04,0.04,0.06,0.08,0.09,0.13,0.17,0.27,0.32,0.42,0.46,0.47,0.49,0.06
"3415",0.19,0.18,0.16,0.15,0.15,0.15,0.13,0.11,0.11,0.1,0.06,0.06,0.07,0.05,0.04,0.03,0.03,0.05,0.07
"3416",0.07,0.06,0.05,0.05,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0
"3417",0.13,0.1,0.09,0.04,0.03,0.02,0.03,0.02,0.06,0.13,0.16,0.22,0.27,0.3,0.39,0.38,0.42,0.43,0.1
"3418",0.5,0.47,0.46,0.41,0.39,0.39,0.35,0.35,0.36,0.31,0.28,0.18,0.15,0.13,0.14,0.13,0.1,0.1,0.24
"3419",0.02,0.01,0,0,0,0,0,0,0.01,0.03,0.03,0.06,0.09,0.21,0.34,0.54,0.7,0.8,0.01
"3420",0.98,0.94,0.86,0.69,0.52,0.39,0.27,0.17,0.1,0.05,0.04,0.04,0.06,0.11,0.15,0.18,0.25,0.31,0.21
"3421",0.45,0.48,0.44,0.44,0.41,0.43,0.4,0.37,0.32,0.27,0.25,0.25,0.28,0.29,0.31,0.32,0.38,0.38,0.34
"3422",0.05,0.05,0.05,0.07,0.09,0.1,0.13,0.17,0.26,0.34,0.5,0.61,0.73,0.84,0.89,0.94,0.98,1,0.2
"3423",0.75,0.75,0.72,0.75,0.76,0.83,0.91,0.95,0.95,0.92,0.89,0.83,0.79,0.66,0.62,0.58,0.52,0.51,0.89
"3424",0.08,0.07,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.05,0.08,0.12,0.15,0
"3425",0.12,0.14,0.15,0.14,0.2,0.28,0.35,0.46,0.53,0.61,0.68,0.74,0.75,0.8,0.83,0.84,0.8,0.8,0.44
"3426",0.16,0.18,0.18,0.21,0.22,0.21,0.18,0.18,0.18,0.15,0.09,0.07,0.04,0.04,0.04,0.04,0.05,0.06,0.09
"3427",0.32,0.26,0.26,0.2,0.18,0.15,0.09,0.08,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03
"3428",0.24,0.19,0.16,0.13,0.11,0.09,0.08,0.07,0.07,0.07,0.06,0.11,0.15,0.2,0.22,0.25,0.33,0.38,0.07
"3429",0.31,0.31,0.3,0.31,0.33,0.34,0.37,0.37,0.44,0.48,0.49,0.53,0.54,0.58,0.62,0.66,0.73,0.75,0.48
"3430",0.32,0.28,0.29,0.29,0.35,0.41,0.52,0.67,0.75,0.81,0.84,0.79,0.72,0.65,0.61,0.6,0.56,0.6,0.64
"3431",0.62,0.64,0.64,0.65,0.64,0.57,0.54,0.44,0.37,0.26,0.21,0.14,0.09,0.09,0.11,0.13,0.14,0.16,0.27
"3432",0.89,0.87,0.86,0.89,0.87,0.89,0.9,0.87,0.94,0.97,0.98,0.94,0.92,0.86,0.78,0.67,0.58,0.55,0.95
"3433",0.05,0.02,0.03,0.03,0.03,0.05,0.06,0.11,0.16,0.19,0.27,0.35,0.37,0.44,0.5,0.53,0.54,0.53,0.12
"3434",0.66,0.6,0.55,0.44,0.4,0.35,0.3,0.21,0.2,0.13,0.12,0.11,0.11,0.12,0.13,0.14,0.14,0.14,0.19
"3435",0.27,0.23,0.19,0.18,0.18,0.16,0.17,0.18,0.2,0.19,0.15,0.17,0.2,0.24,0.27,0.28,0.3,0.34,0.17
"3436",0.21,0.18,0.15,0.1,0.09,0.09,0.07,0.06,0.07,0.1,0.15,0.24,0.31,0.43,0.52,0.63,0.74,0.8,0.14
