"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"15301",0.2,0.15,0.12,0.06,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.06,0.08,0.09,0.1,0.12,0
"15302",0.79,0.74,0.72,0.74,0.7,0.61,0.51,0.42,0.37,0.33,0.28,0.21,0.18,0.16,0.15,0.14,0.16,0.21,0.37
"15303",0.71,0.66,0.62,0.57,0.52,0.44,0.36,0.26,0.2,0.13,0.11,0.1,0.06,0.07,0.06,0.06,0.06,0.08,0.13
"15304",0.45,0.46,0.49,0.53,0.61,0.7,0.75,0.79,0.81,0.83,0.87,0.91,0.98,0.99,1,1,1,1,0.9
"15305",0.44,0.46,0.45,0.49,0.53,0.52,0.5,0.4,0.39,0.34,0.24,0.22,0.16,0.11,0.11,0.13,0.16,0.19,0.28
"15306",0.19,0.15,0.13,0.14,0.14,0.18,0.19,0.25,0.32,0.47,0.57,0.69,0.8,0.91,0.92,0.9,0.83,0.74,0.42
"15307",0.13,0.13,0.11,0.09,0.09,0.09,0.1,0.14,0.18,0.23,0.26,0.28,0.31,0.36,0.38,0.45,0.46,0.5,0.16
"15308",0.97,1,0.99,0.95,0.87,0.67,0.5,0.37,0.24,0.16,0.13,0.13,0.11,0.16,0.18,0.3,0.37,0.48,0.35
"15309",0.13,0.14,0.15,0.19,0.22,0.26,0.38,0.53,0.64,0.76,0.82,0.85,0.95,0.98,0.96,0.94,0.91,0.86,0.59
"15310",0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.07,0.1,0.2,0.3,0.39,0.52,0.59,0.65,0.65,0.64,0.63,0.11
"15311",0.19,0.18,0.13,0.09,0.08,0.07,0.08,0.12,0.13,0.24,0.31,0.38,0.5,0.61,0.68,0.73,0.76,0.79,0.23
"15312",0.23,0.17,0.12,0.1,0.07,0.06,0.04,0.03,0.04,0.04,0.06,0.15,0.17,0.28,0.34,0.43,0.55,0.65,0.1
"15313",0.05,0.06,0.07,0.07,0.08,0.1,0.16,0.21,0.23,0.24,0.27,0.26,0.28,0.31,0.28,0.29,0.31,0.33,0.14
"15314",0.03,0.04,0.04,0.05,0.06,0.07,0.11,0.19,0.38,0.56,0.67,0.85,0.9,0.95,0.92,0.91,0.9,0.89,0.26
"15315",0.22,0.22,0.23,0.24,0.25,0.24,0.25,0.3,0.31,0.34,0.34,0.31,0.28,0.28,0.25,0.22,0.24,0.25,0.26
"15316",0.04,0.05,0.08,0.13,0.18,0.26,0.37,0.46,0.57,0.7,0.88,0.94,0.99,0.99,0.95,0.93,0.92,0.92,0.46
"15317",0.79,0.73,0.68,0.57,0.44,0.27,0.19,0.11,0.07,0.02,0.01,0.01,0.01,0.03,0.05,0.06,0.09,0.15,0.08
"15318",0.59,0.54,0.55,0.54,0.56,0.59,0.67,0.7,0.76,0.78,0.78,0.72,0.73,0.69,0.71,0.73,0.7,0.7,0.76
"15319",0.03,0.03,0.04,0.07,0.07,0.08,0.1,0.15,0.18,0.2,0.19,0.19,0.17,0.13,0.13,0.11,0.11,0.09,0.09
"15320",0.94,0.89,0.85,0.81,0.83,0.82,0.85,0.92,0.97,0.97,1,1,0.98,0.97,0.93,0.93,0.89,0.9,0.99
"15321",0.53,0.57,0.61,0.65,0.68,0.71,0.69,0.67,0.51,0.37,0.26,0.15,0.13,0.08,0.05,0.06,0.06,0.07,0.26
"15322",0.48,0.34,0.3,0.2,0.11,0.07,0.05,0.02,0.01,0.01,0.01,0.02,0.03,0.05,0.06,0.09,0.09,0.09,0
"15323",0.49,0.47,0.43,0.42,0.34,0.27,0.17,0.08,0.05,0.02,0.01,0.01,0,0,0,0.01,0.01,0.02,0.02
"15324",0.66,0.63,0.59,0.54,0.45,0.43,0.38,0.34,0.32,0.28,0.27,0.21,0.13,0.09,0.1,0.08,0.06,0.05,0.23
"15325",0.31,0.35,0.32,0.34,0.36,0.38,0.48,0.56,0.64,0.75,0.81,0.9,0.94,0.96,0.99,0.98,0.97,0.95,0.73
