"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"8275",0.14,0.13,0.13,0.14,0.15,0.17,0.2,0.25,0.3,0.38,0.44,0.48,0.46,0.49,0.51,0.53,0.53,0.54,0.27
"8276",0.01,0,0,0,0,0,0,0,0.01,0.01,0.04,0.05,0.07,0.09,0.11,0.12,0.15,0.13,0
"8277",0.55,0.62,0.69,0.77,0.81,0.86,0.91,0.92,0.9,0.86,0.84,0.81,0.8,0.8,0.8,0.8,0.82,0.8,0.93
"8278",0.5,0.44,0.36,0.3,0.26,0.27,0.25,0.26,0.29,0.32,0.37,0.41,0.4,0.35,0.23,0.14,0.1,0.05,0.28
"8279",0.01,0,0,0.01,0.01,0.01,0.02,0.01,0,0,0,0,0,0.01,0.01,0.02,0.03,0.03,0
"8280",0.5,0.39,0.32,0.24,0.16,0.12,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.04,0.05,0.07,0.12,0.16,0.04
"8281",0.5,0.54,0.6,0.65,0.73,0.79,0.89,0.9,0.87,0.81,0.62,0.5,0.38,0.3,0.2,0.11,0.09,0.07,0.64
"8282",0.18,0.14,0.14,0.16,0.18,0.19,0.27,0.32,0.45,0.57,0.63,0.63,0.62,0.57,0.51,0.47,0.39,0.35,0.3
"8283",0.31,0.29,0.24,0.23,0.16,0.11,0.06,0.07,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.07,0.05
"8284",0.04,0.03,0.05,0.08,0.1,0.2,0.23,0.36,0.49,0.56,0.59,0.56,0.5,0.43,0.38,0.35,0.32,0.3,0.2
"8285",0,0,0,0,0.01,0.02,0.05,0.11,0.13,0.19,0.25,0.23,0.22,0.19,0.11,0.12,0.12,0.17,0.03
"8286",0.92,0.89,0.88,0.84,0.85,0.93,0.95,0.96,0.94,0.92,0.8,0.7,0.61,0.45,0.39,0.26,0.2,0.17,0.8
"8287",0.16,0.09,0.07,0.05,0.05,0.05,0.07,0.09,0.1,0.18,0.21,0.31,0.39,0.42,0.46,0.53,0.57,0.58,0.15
"8288",0.5,0.45,0.36,0.31,0.25,0.21,0.18,0.18,0.17,0.22,0.26,0.34,0.43,0.48,0.48,0.5,0.52,0.52,0.29
"8289",0.03,0.02,0.04,0.05,0.07,0.06,0.06,0.06,0.07,0.08,0.09,0.12,0.14,0.14,0.13,0.14,0.16,0.21,0.05
"8290",0.82,0.78,0.74,0.68,0.64,0.6,0.61,0.64,0.74,0.81,0.89,0.95,0.98,0.96,0.91,0.87,0.74,0.68,0.87
"8291",0.79,0.8,0.78,0.69,0.61,0.55,0.48,0.41,0.3,0.28,0.26,0.25,0.24,0.23,0.22,0.25,0.28,0.26,0.36
"8292",0.2,0.16,0.14,0.11,0.09,0.09,0.07,0.06,0.01,0.02,0.03,0.05,0.07,0.1,0.14,0.16,0.19,0.23,0.03
"8293",0.21,0.21,0.2,0.19,0.21,0.16,0.15,0.16,0.14,0.16,0.2,0.25,0.23,0.37,0.39,0.46,0.49,0.54,0.2
"8294",0.17,0.16,0.15,0.14,0.14,0.14,0.15,0.17,0.22,0.26,0.34,0.39,0.34,0.3,0.26,0.2,0.16,0.12,0.18
"8295",0.46,0.47,0.45,0.5,0.56,0.56,0.55,0.53,0.5,0.45,0.4,0.37,0.34,0.36,0.33,0.36,0.4,0.45,0.5
"8296",0.56,0.69,0.79,0.86,0.9,0.89,0.87,0.78,0.69,0.52,0.42,0.37,0.37,0.41,0.44,0.45,0.52,0.57,0.71
"8297",0.06,0.06,0.04,0.02,0.01,0.01,0.01,0.02,0.02,0.05,0.13,0.18,0.27,0.3,0.34,0.32,0.28,0.28,0.01
"8298",0.02,0.01,0.01,0.01,0.01,0,0,0.01,0.03,0.05,0.07,0.12,0.12,0.17,0.19,0.23,0.33,0.37,0.04
"8299",0.31,0.3,0.32,0.3,0.29,0.25,0.23,0.16,0.12,0.07,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.05
"8300",0.89,0.85,0.82,0.82,0.83,0.86,0.87,0.92,0.93,0.95,0.93,0.88,0.8,0.69,0.54,0.44,0.36,0.32,0.88
"8301",0.32,0.31,0.28,0.25,0.22,0.17,0.12,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.03,0.04,0.07,0.13,0.04
"8302",0.13,0.11,0.12,0.13,0.13,0.14,0.16,0.17,0.19,0.25,0.32,0.36,0.47,0.6,0.73,0.79,0.85,0.93,0.26
"8303",0.39,0.34,0.29,0.26,0.25,0.26,0.25,0.3,0.36,0.41,0.51,0.68,0.76,0.88,0.93,0.96,0.99,0.98,0.47
"8304",0.16,0.13,0.06,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8305",0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0
"8306",0.01,0.01,0,0,0,0,0.01,0.03,0.03,0.04,0.07,0.07,0.18,0.33,0.39,0.45,0.48,0.52,0.02
"8307",0.31,0.25,0.14,0.1,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04,0.05,0.01
"8308",1,0.98,0.98,0.97,0.95,0.96,0.95,0.9,0.9,0.9,0.89,0.82,0.78,0.75,0.74,0.72,0.75,0.78,0.98
"8309",0.3,0.35,0.33,0.39,0.45,0.52,0.6,0.67,0.69,0.74,0.75,0.71,0.63,0.58,0.52,0.52,0.54,0.54,0.62
"8310",0.87,0.89,0.87,0.89,0.93,0.94,0.93,0.87,0.79,0.73,0.59,0.48,0.41,0.35,0.27,0.23,0.2,0.17,0.7
"8311",0.08,0.08,0.08,0.1,0.09,0.14,0.28,0.37,0.46,0.54,0.67,0.82,0.89,0.92,0.98,0.99,0.99,0.97,0.46
"8312",0.02,0.02,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0
"8313",0.46,0.43,0.4,0.41,0.43,0.45,0.5,0.52,0.58,0.68,0.75,0.81,0.84,0.84,0.79,0.76,0.73,0.71,0.68
