"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.52,0.53,0.51,0.54,0.56,0.63,0.67,0.63,0.65,0.63,0.62,0.59,0.53,0.48,0.42,0.42,0.41,0.41,0.64
"2",0.08,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01
"3",0.42,0.42,0.41,0.44,0.4,0.39,0.38,0.38,0.41,0.38,0.39,0.43,0.46,0.48,0.51,0.52,0.51,0.52,0.42
"4",0.15,0.13,0.09,0.04,0.03,0,0,0,0,0,0.01,0.02,0.04,0.04,0.05,0.06,0.09,0.15,0
"5",0.65,0.62,0.62,0.57,0.53,0.53,0.5,0.46,0.46,0.51,0.52,0.53,0.61,0.67,0.68,0.72,0.79,0.84,0.67
"6",0.92,0.95,0.94,0.92,0.83,0.79,0.69,0.62,0.59,0.55,0.54,0.55,0.52,0.55,0.65,0.72,0.77,0.81,0.78
"7",0.82,0.79,0.72,0.68,0.62,0.55,0.46,0.39,0.29,0.25,0.23,0.22,0.23,0.21,0.22,0.24,0.24,0.24,0.3
"8",0.94,0.95,0.93,0.95,0.95,0.94,0.94,0.96,0.97,0.97,0.98,0.97,0.97,0.97,0.98,0.99,0.97,0.98,1
"9",0.05,0.04,0.04,0.05,0.09,0.11,0.14,0.17,0.18,0.19,0.2,0.2,0.19,0.21,0.22,0.24,0.26,0.26,0.11
"10",0.08,0.04,0.02,0.02,0.01,0.01,0,0,0,0,0.01,0.04,0.08,0.1,0.17,0.19,0.28,0.35,0
"11",0.27,0.21,0.14,0.08,0.07,0.06,0.04,0.04,0.08,0.1,0.13,0.16,0.21,0.34,0.43,0.52,0.7,0.81,0.11
"12",0.96,1,0.97,0.94,0.87,0.79,0.69,0.65,0.5,0.45,0.39,0.37,0.33,0.35,0.36,0.45,0.51,0.57,0.66
"13",0.51,0.55,0.62,0.68,0.73,0.71,0.65,0.49,0.38,0.22,0.13,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.1
"14",0.06,0.06,0.04,0.05,0.06,0.08,0.09,0.1,0.12,0.19,0.26,0.27,0.36,0.37,0.44,0.5,0.58,0.59,0.1
