"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.88,0.9,0.92,0.96,0.96,0.97,0.99,1,0.99,0.97,0.95,0.9,0.87,0.88,0.89,0.86,0.84,0.83,1
"2",0.24,0.2,0.22,0.23,0.29,0.34,0.43,0.55,0.63,0.75,0.83,0.87,0.91,0.92,0.85,0.78,0.72,0.68,0.67
"3",0.36,0.34,0.31,0.27,0.26,0.26,0.31,0.32,0.4,0.45,0.51,0.54,0.53,0.51,0.46,0.44,0.35,0.33,0.36
"4",0.45,0.36,0.22,0.09,0.06,0.02,0.01,0,0,0,0,0,0.01,0.01,0.03,0.03,0.04,0.05,0
"5",0.39,0.31,0.26,0.21,0.18,0.16,0.17,0.16,0.16,0.18,0.19,0.2,0.2,0.2,0.21,0.23,0.21,0.21,0.17
"6",0.71,0.73,0.75,0.69,0.7,0.7,0.71,0.68,0.67,0.63,0.57,0.55,0.52,0.47,0.47,0.46,0.42,0.38,0.71
"7",0.3,0.22,0.16,0.1,0.06,0.03,0.02,0.01,0.01,0.01,0,0,0,0,0.03,0.06,0.07,0.09,0
"8",0.31,0.29,0.26,0.25,0.21,0.12,0.08,0.07,0.06,0.04,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03
"9",0.83,0.74,0.69,0.65,0.58,0.47,0.41,0.37,0.31,0.32,0.31,0.29,0.33,0.4,0.48,0.53,0.58,0.65,0.55
"10",0.38,0.37,0.39,0.39,0.38,0.35,0.37,0.38,0.33,0.32,0.31,0.31,0.31,0.33,0.36,0.32,0.28,0.29,0.37
"11",0.22,0.17,0.19,0.17,0.15,0.15,0.19,0.24,0.27,0.33,0.36,0.43,0.44,0.51,0.56,0.61,0.67,0.72,0.32
"12",0.61,0.58,0.53,0.5,0.43,0.38,0.38,0.37,0.34,0.3,0.27,0.22,0.2,0.18,0.14,0.1,0.1,0.1,0.26
"13",0.76,0.76,0.79,0.84,0.87,0.95,0.95,0.95,0.88,0.78,0.69,0.54,0.45,0.28,0.25,0.2,0.2,0.17,0.66
"14",0.52,0.55,0.58,0.6,0.68,0.74,0.78,0.81,0.88,0.94,0.95,0.96,0.96,0.98,1,0.99,0.97,0.96,0.95
"15",0.1,0.05,0.04,0.02,0.02,0.02,0.03,0.04,0.09,0.1,0.13,0.17,0.21,0.27,0.29,0.3,0.3,0.31,0.09
