"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.23,0.26,0.28,0.34,0.41,0.51,0.59,0.67,0.79,0.8,0.8,0.75,0.73,0.62,0.54,0.48,0.43,0.4,0.59
"2",0.81,0.84,0.82,0.81,0.78,0.72,0.66,0.58,0.5,0.41,0.34,0.3,0.28,0.26,0.26,0.3,0.3,0.32,0.54
"3",0.55,0.54,0.53,0.49,0.45,0.41,0.34,0.28,0.25,0.14,0.13,0.09,0.07,0.08,0.09,0.09,0.13,0.17,0.2
"4",0.31,0.22,0.17,0.11,0.1,0.1,0.08,0.09,0.05,0.07,0.1,0.11,0.11,0.13,0.14,0.18,0.2,0.25,0.11
"5",0.92,0.9,0.88,0.88,0.83,0.82,0.74,0.67,0.65,0.66,0.69,0.7,0.72,0.78,0.83,0.86,0.87,0.89,0.87
"6",0.82,0.8,0.74,0.73,0.78,0.83,0.82,0.84,0.87,0.88,0.87,0.89,0.89,0.88,0.92,0.93,0.95,0.97,0.93
"7",0.54,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.47,0.44,0.44,0.42,0.4,0.42,0.45,0.44,0.47,0.49,0.52
"8",0.13,0.13,0.12,0.11,0.11,0.1,0.08,0.08,0.08,0.05,0.03,0.02,0,0,0,0,0,0,0.01
"9",0.3,0.24,0.19,0.19,0.16,0.16,0.13,0.11,0.09,0.1,0.12,0.09,0.13,0.14,0.15,0.17,0.18,0.19,0.11
"10",0.84,0.82,0.75,0.71,0.65,0.59,0.54,0.52,0.49,0.46,0.4,0.32,0.26,0.2,0.15,0.12,0.09,0.08,0.39
"11",0.79,0.7,0.63,0.52,0.44,0.34,0.26,0.19,0.17,0.15,0.12,0.13,0.15,0.17,0.24,0.27,0.35,0.4,0.24
"12",0.29,0.29,0.26,0.25,0.23,0.25,0.23,0.19,0.18,0.16,0.08,0.06,0.06,0.05,0.04,0.03,0.01,0.01,0.04
"13",0.75,0.81,0.83,0.84,0.83,0.76,0.71,0.68,0.65,0.56,0.5,0.53,0.46,0.41,0.37,0.37,0.38,0.37,0.76
"14",0.66,0.62,0.59,0.58,0.55,0.45,0.39,0.31,0.28,0.25,0.22,0.21,0.26,0.27,0.29,0.31,0.34,0.38,0.42
"15",0.85,0.79,0.71,0.67,0.59,0.62,0.61,0.54,0.58,0.61,0.65,0.67,0.73,0.82,0.92,0.97,0.98,0.97,0.8
"16",0.84,0.84,0.82,0.82,0.83,0.85,0.88,0.92,0.92,0.89,0.89,0.86,0.85,0.82,0.83,0.83,0.84,0.83,0.97
"17",0.88,0.87,0.85,0.87,0.87,0.86,0.83,0.77,0.71,0.67,0.6,0.47,0.37,0.29,0.29,0.28,0.25,0.24,0.66
"18",0.56,0.52,0.49,0.5,0.54,0.56,0.63,0.68,0.74,0.78,0.83,0.85,0.8,0.73,0.61,0.54,0.49,0.39,0.77
"19",0.12,0.11,0.09,0.06,0.04,0.04,0.04,0.04,0.07,0.1,0.12,0.16,0.22,0.29,0.47,0.52,0.54,0.6,0.08
"20",0.18,0.13,0.11,0.11,0.1,0.12,0.15,0.2,0.32,0.53,0.71,0.87,0.95,0.98,0.98,0.94,0.89,0.84,0.37
"21",0.58,0.61,0.7,0.77,0.85,0.99,1,0.93,0.63,0.42,0.2,0.06,0.01,0,0,0,0,0,0.09
"22",0.72,0.72,0.79,0.87,0.88,0.89,0.91,0.93,0.97,0.98,1,1,1,0.92,0.86,0.83,0.8,0.74,0.96
"23",0.62,0.56,0.52,0.45,0.33,0.29,0.28,0.23,0.22,0.22,0.19,0.25,0.37,0.39,0.47,0.54,0.63,0.67,0.33
"24",0.03,0.03,0.03,0.03,0.01,0,0,0,0,0,0.01,0.02,0.03,0.07,0.11,0.14,0.17,0.2,0
"25",0.09,0.06,0.04,0.04,0.04,0.08,0.1,0.12,0.14,0.24,0.35,0.46,0.64,0.73,0.84,0.91,0.94,0.98,0.18
"26",0.28,0.28,0.25,0.27,0.28,0.3,0.33,0.43,0.56,0.64,0.74,0.84,0.91,0.91,0.96,0.96,0.97,0.97,0.64
"27",0.38,0.38,0.33,0.31,0.28,0.32,0.35,0.41,0.52,0.67,0.77,0.93,0.99,1,0.99,0.93,0.88,0.87,0.69
"28",0.92,0.98,1,0.99,1,1,0.99,0.97,0.92,0.87,0.8,0.77,0.73,0.67,0.6,0.6,0.59,0.56,0.91
"29",0.83,0.81,0.82,0.8,0.78,0.8,0.76,0.72,0.72,0.75,0.75,0.75,0.77,0.8,0.78,0.78,0.76,0.74,0.9
