"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"2186",0.24,0.24,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.23,0.22,0.21,0.22,0.22,0.24,0.28,0.32,0.35,0.2
"2187",0.46,0.41,0.36,0.33,0.32,0.38,0.47,0.57,0.66,0.79,0.86,0.88,0.87,0.85,0.85,0.79,0.73,0.69,0.72
"2188",0.3,0.28,0.26,0.2,0.15,0.12,0.13,0.16,0.19,0.23,0.23,0.24,0.25,0.26,0.27,0.31,0.31,0.36,0.16
"2189",0.86,0.73,0.64,0.5,0.48,0.4,0.34,0.31,0.31,0.28,0.26,0.27,0.3,0.3,0.33,0.33,0.43,0.47,0.36
"2190",0.06,0.03,0.02,0.03,0.03,0.02,0.03,0.05,0.07,0.08,0.1,0.1,0.15,0.17,0.17,0.19,0.17,0.18,0.02
"2191",0.79,0.76,0.76,0.73,0.65,0.53,0.45,0.39,0.31,0.25,0.2,0.18,0.13,0.11,0.1,0.12,0.11,0.12,0.27
"2192",0.38,0.37,0.4,0.4,0.46,0.48,0.62,0.76,0.82,0.93,0.97,0.97,0.97,0.94,0.96,0.95,0.96,0.96,0.82
"2193",0.85,0.91,0.93,0.94,0.95,0.89,0.85,0.76,0.68,0.64,0.56,0.47,0.41,0.37,0.32,0.3,0.3,0.27,0.71
"2194",0.44,0.52,0.53,0.58,0.61,0.63,0.64,0.61,0.55,0.54,0.51,0.49,0.43,0.34,0.27,0.24,0.2,0.16,0.48
"2195",0.94,0.94,0.94,0.94,0.92,0.93,0.9,0.88,0.85,0.86,0.87,0.82,0.78,0.75,0.76,0.75,0.73,0.68,0.97
"2196",0.05,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.02,0.03,0.06,0.1,0.16,0
"2197",0.32,0.27,0.21,0.17,0.18,0.19,0.2,0.22,0.27,0.36,0.4,0.46,0.52,0.52,0.48,0.47,0.43,0.32,0.32
"2198",0.82,0.79,0.74,0.71,0.69,0.6,0.53,0.39,0.24,0.16,0.13,0.1,0.03,0.01,0.01,0,0,0,0.07
"2199",0.1,0.07,0.04,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0
"2200",0.29,0.26,0.24,0.23,0.23,0.24,0.24,0.25,0.24,0.25,0.29,0.31,0.4,0.47,0.55,0.7,0.8,0.86,0.26
"2201",0.86,0.9,0.9,0.9,0.88,0.85,0.87,0.87,0.9,0.88,0.77,0.7,0.61,0.51,0.39,0.32,0.27,0.25,0.88
"2202",0.51,0.63,0.69,0.8,0.93,0.97,0.95,0.88,0.71,0.57,0.41,0.29,0.24,0.21,0.16,0.13,0.17,0.19,0.48
"2203",0.67,0.6,0.56,0.48,0.41,0.37,0.33,0.27,0.22,0.16,0.15,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.2
