"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.63,0.66,0.68,0.69,0.7,0.72,0.75,0.78,0.82,0.87,0.91,0.92,0.93,0.92,0.87,0.8,0.73,0.7,0.88
"2",0.95,0.92,0.89,0.81,0.75,0.71,0.65,0.64,0.6,0.6,0.64,0.68,0.81,0.89,0.92,0.91,0.89,0.81,0.85
"3",0.32,0.27,0.21,0.14,0.09,0.08,0.08,0.07,0.09,0.14,0.18,0.3,0.48,0.59,0.67,0.76,0.84,0.86,0.15
"4",0.3,0.26,0.24,0.18,0.18,0.19,0.18,0.16,0.12,0.15,0.17,0.23,0.32,0.37,0.46,0.52,0.61,0.67,0.21
"5",0.51,0.49,0.47,0.47,0.41,0.4,0.43,0.42,0.46,0.51,0.53,0.52,0.51,0.49,0.47,0.44,0.42,0.39,0.55
"6",0.43,0.33,0.26,0.12,0.08,0.06,0.05,0.05,0.04,0.06,0.07,0.16,0.33,0.42,0.52,0.63,0.68,0.77,0.12
"7",0.99,0.99,0.99,1,0.98,0.96,0.97,0.93,0.91,0.85,0.84,0.8,0.83,0.83,0.84,0.83,0.85,0.88,0.97
"8",0.25,0.22,0.22,0.26,0.28,0.3,0.34,0.31,0.23,0.1,0.06,0.04,0.03,0.02,0.02,0.01,0.02,0.03,0.03
"9",0.13,0.1,0.08,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.08,0.09,0.12,0.16,0.23,0.33,0.05
"10",0.17,0.17,0.16,0.13,0.12,0.15,0.18,0.19,0.26,0.26,0.28,0.31,0.36,0.37,0.4,0.38,0.39,0.38,0.23
"11",0.21,0.19,0.2,0.22,0.25,0.32,0.36,0.47,0.54,0.65,0.78,0.88,0.95,0.99,0.99,0.96,0.93,0.94,0.59
"12",0.17,0.16,0.15,0.15,0.17,0.18,0.22,0.25,0.37,0.46,0.5,0.58,0.62,0.63,0.67,0.69,0.74,0.77,0.35
"13",0.24,0.26,0.32,0.37,0.41,0.55,0.66,0.72,0.76,0.77,0.77,0.73,0.69,0.61,0.6,0.64,0.61,0.59,0.62
"14",0.55,0.49,0.42,0.35,0.26,0.22,0.2,0.19,0.15,0.12,0.13,0.19,0.23,0.31,0.41,0.46,0.53,0.61,0.27
"15",0.64,0.63,0.59,0.6,0.58,0.57,0.51,0.48,0.46,0.44,0.43,0.45,0.48,0.53,0.57,0.56,0.61,0.61,0.58
"16",0.41,0.36,0.36,0.34,0.35,0.37,0.39,0.47,0.57,0.71,0.86,0.97,0.97,0.91,0.78,0.66,0.57,0.45,0.59
"17",0.91,0.92,0.95,0.91,0.8,0.62,0.38,0.24,0.12,0.06,0.04,0.03,0.02,0.02,0.05,0.11,0.15,0.21,0.12
"18",0.37,0.34,0.27,0.22,0.21,0.14,0.11,0.09,0.09,0.1,0.1,0.12,0.16,0.2,0.27,0.37,0.4,0.42,0.17
"19",0.25,0.29,0.29,0.35,0.46,0.52,0.69,0.75,0.87,0.97,0.99,0.99,0.96,0.95,0.91,0.89,0.9,0.91,0.85
"20",0.74,0.72,0.72,0.73,0.71,0.75,0.79,0.82,0.87,0.92,0.95,0.91,0.89,0.87,0.81,0.76,0.72,0.73,0.91
"21",0.29,0.25,0.23,0.2,0.2,0.21,0.21,0.21,0.23,0.22,0.22,0.22,0.21,0.23,0.2,0.23,0.23,0.25,0.18
"22",0.49,0.55,0.62,0.72,0.77,0.86,0.9,0.98,0.96,0.94,0.87,0.77,0.71,0.66,0.59,0.58,0.62,0.66,0.9
"23",0.61,0.63,0.65,0.68,0.74,0.76,0.76,0.81,0.85,0.86,0.91,0.91,0.91,0.93,0.94,0.96,0.95,0.99,0.95
"24",0.55,0.62,0.75,0.82,0.88,0.92,0.94,0.91,0.85,0.82,0.82,0.79,0.8,0.79,0.79,0.81,0.78,0.75,0.92
"25",0.85,0.78,0.69,0.62,0.56,0.5,0.44,0.38,0.39,0.39,0.42,0.48,0.48,0.48,0.49,0.45,0.43,0.38,0.57
"26",0.36,0.38,0.35,0.38,0.39,0.39,0.35,0.29,0.26,0.19,0.16,0.13,0.14,0.18,0.22,0.23,0.25,0.32,0.21
"27",0.08,0.05,0.07,0.13,0.17,0.22,0.34,0.45,0.52,0.66,0.76,0.8,0.8,0.79,0.77,0.77,0.78,0.75,0.43
"28",0.7,0.65,0.63,0.54,0.48,0.44,0.41,0.44,0.42,0.47,0.5,0.53,0.56,0.52,0.49,0.4,0.32,0.26,0.51
"29",0.74,0.71,0.69,0.66,0.63,0.64,0.61,0.62,0.68,0.71,0.73,0.71,0.69,0.64,0.57,0.52,0.48,0.46,0.69
"30",0.45,0.36,0.27,0.19,0.15,0.12,0.11,0.1,0.09,0.1,0.1,0.12,0.15,0.16,0.2,0.21,0.21,0.18,0.12
"31",0.03,0.04,0.04,0.06,0.05,0.05,0.06,0.09,0.1,0.11,0.1,0.1,0.11,0.16,0.19,0.2,0.2,0.22,0.05
"32",0.02,0.01,0,0,0,0.01,0.03,0.06,0.11,0.14,0.22,0.37,0.46,0.56,0.66,0.67,0.71,0.76,0.07
"33",0.34,0.26,0.19,0.12,0.09,0.07,0.06,0.07,0.06,0.11,0.17,0.23,0.28,0.43,0.56,0.66,0.71,0.75,0.19
"34",0.89,0.88,0.83,0.81,0.75,0.68,0.58,0.54,0.44,0.37,0.34,0.35,0.34,0.35,0.39,0.39,0.4,0.45,0.58
"35",0.78,0.78,0.76,0.71,0.66,0.64,0.6,0.59,0.51,0.56,0.57,0.59,0.6,0.62,0.65,0.7,0.76,0.73,0.67
"36",0.28,0.3,0.3,0.29,0.3,0.36,0.38,0.41,0.57,0.62,0.67,0.68,0.78,0.86,0.9,0.94,0.96,0.97,0.6
"37",0.11,0.1,0.12,0.13,0.16,0.17,0.19,0.19,0.2,0.2,0.25,0.33,0.39,0.44,0.49,0.52,0.57,0.65,0.2
"38",0.64,0.62,0.58,0.56,0.56,0.56,0.57,0.66,0.66,0.68,0.72,0.75,0.78,0.79,0.79,0.78,0.73,0.67,0.78
"39",0.4,0.35,0.31,0.3,0.28,0.29,0.3,0.3,0.29,0.35,0.39,0.47,0.49,0.54,0.52,0.52,0.53,0.56,0.43
"40",0.62,0.6,0.53,0.52,0.46,0.42,0.39,0.38,0.41,0.43,0.43,0.46,0.53,0.52,0.58,0.6,0.62,0.66,0.52
"41",0.51,0.48,0.47,0.45,0.41,0.4,0.41,0.43,0.51,0.58,0.64,0.73,0.78,0.75,0.7,0.67,0.58,0.52,0.51
"42",0.08,0.07,0.06,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.05,0.01
"43",0.68,0.65,0.61,0.6,0.59,0.58,0.56,0.57,0.61,0.6,0.61,0.63,0.61,0.6,0.51,0.45,0.42,0.38,0.65
"44",0.94,0.93,0.87,0.84,0.8,0.79,0.8,0.82,0.87,0.9,0.96,0.98,0.98,0.97,0.96,0.94,0.93,0.9,0.99
"45",0.97,1,1,1,0.99,0.97,0.96,0.94,0.94,0.92,0.92,0.95,0.96,0.98,0.99,1,1,1,1
"46",0.1,0.1,0.11,0.11,0.14,0.18,0.24,0.28,0.26,0.24,0.21,0.21,0.16,0.17,0.13,0.11,0.09,0.08,0.11
"47",0.35,0.36,0.4,0.39,0.43,0.49,0.55,0.61,0.71,0.79,0.86,0.92,0.94,0.95,0.96,0.96,0.97,0.95,0.81
"48",0.25,0.2,0.16,0.12,0.09,0.07,0.07,0.07,0.04,0.06,0.06,0.11,0.12,0.19,0.3,0.33,0.47,0.5,0.07
"49",0.14,0.16,0.18,0.2,0.22,0.23,0.28,0.27,0.27,0.27,0.29,0.36,0.45,0.51,0.63,0.68,0.72,0.76,0.3
"50",0.36,0.35,0.29,0.24,0.23,0.23,0.24,0.23,0.2,0.22,0.21,0.22,0.22,0.19,0.16,0.17,0.16,0.18,0.2
"51",0.83,0.82,0.8,0.78,0.73,0.73,0.66,0.59,0.52,0.43,0.41,0.29,0.27,0.23,0.21,0.17,0.16,0.14,0.52
"52",0.14,0.15,0.22,0.27,0.34,0.43,0.58,0.68,0.78,0.82,0.8,0.74,0.7,0.6,0.55,0.5,0.5,0.54,0.59
"53",0.73,0.69,0.62,0.59,0.49,0.41,0.32,0.25,0.25,0.31,0.3,0.38,0.44,0.54,0.66,0.78,0.88,0.92,0.55
"54",0.42,0.44,0.42,0.4,0.43,0.46,0.53,0.6,0.74,0.83,0.93,0.98,1,0.93,0.82,0.78,0.7,0.63,0.83
"55",0.63,0.54,0.47,0.37,0.27,0.25,0.21,0.19,0.17,0.18,0.17,0.2,0.27,0.34,0.43,0.47,0.51,0.52,0.27
"56",0.63,0.66,0.66,0.69,0.7,0.68,0.64,0.62,0.5,0.37,0.27,0.22,0.18,0.13,0.12,0.09,0.08,0.08,0.29
"57",0.62,0.6,0.55,0.47,0.46,0.43,0.37,0.34,0.3,0.28,0.29,0.27,0.26,0.25,0.26,0.28,0.25,0.26,0.32
