"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.99,0.99,0.95,0.96,0.95,0.95,0.95,0.91,0.86,0.83,0.76,0.64,0.6,0.57,0.55,0.54,0.55,0.5,0.89
"2",0.47,0.47,0.51,0.58,0.67,0.73,0.84,0.91,0.99,1,1,1,0.98,0.97,0.97,0.96,0.97,0.97,0.94
"3",0.47,0.41,0.41,0.45,0.51,0.53,0.53,0.6,0.61,0.63,0.65,0.69,0.71,0.75,0.75,0.78,0.79,0.77,0.71
"4",0.26,0.24,0.22,0.17,0.14,0.13,0.14,0.15,0.17,0.2,0.23,0.25,0.27,0.28,0.33,0.35,0.37,0.41,0.19
"5",0.47,0.44,0.39,0.37,0.38,0.34,0.32,0.28,0.23,0.18,0.18,0.18,0.14,0.12,0.11,0.12,0.12,0.14,0.19
"6",0.05,0.06,0.06,0.09,0.14,0.24,0.38,0.48,0.66,0.77,0.77,0.7,0.67,0.59,0.49,0.46,0.44,0.43,0.37
"7",0.48,0.46,0.4,0.4,0.4,0.41,0.39,0.41,0.45,0.48,0.49,0.47,0.43,0.38,0.31,0.31,0.3,0.29,0.43
"8",0.08,0.05,0.03,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0
"9",0.12,0.08,0.05,0.05,0.05,0.06,0.08,0.09,0.11,0.15,0.3,0.45,0.57,0.68,0.82,0.85,0.88,0.89,0.15
"10",0.82,0.79,0.73,0.68,0.66,0.6,0.53,0.44,0.41,0.31,0.21,0.18,0.14,0.13,0.13,0.11,0.09,0.09,0.3
"11",0.81,0.84,0.87,0.87,0.86,0.81,0.74,0.58,0.45,0.31,0.24,0.18,0.16,0.13,0.12,0.13,0.13,0.16,0.4
"12",0.68,0.63,0.57,0.56,0.52,0.44,0.42,0.42,0.37,0.37,0.36,0.31,0.31,0.28,0.25,0.24,0.21,0.22,0.35
"13",0.5,0.46,0.38,0.33,0.28,0.27,0.25,0.21,0.16,0.16,0.12,0.06,0.06,0.03,0.02,0.01,0.01,0.01,0.1
"14",0.22,0.22,0.27,0.27,0.32,0.42,0.53,0.6,0.64,0.67,0.7,0.65,0.56,0.5,0.44,0.4,0.34,0.29,0.48
"15",0.36,0.29,0.27,0.22,0.21,0.23,0.22,0.26,0.26,0.29,0.3,0.32,0.33,0.37,0.42,0.45,0.45,0.44,0.29
"16",0.9,0.96,1,1,0.94,0.73,0.48,0.29,0.13,0.07,0.02,0.01,0.01,0,0,0,0.01,0.02,0.1
"17",0.06,0.06,0.05,0.05,0.04,0.04,0.05,0.07,0.11,0.19,0.23,0.33,0.48,0.61,0.72,0.81,0.85,0.87,0.12
"18",0.3,0.3,0.33,0.38,0.53,0.67,0.8,0.92,0.97,0.97,0.89,0.77,0.72,0.63,0.57,0.56,0.51,0.56,0.77
"19",0.8,0.75,0.77,0.74,0.72,0.75,0.71,0.7,0.65,0.59,0.57,0.53,0.43,0.43,0.43,0.47,0.49,0.52,0.74
"20",0.61,0.57,0.51,0.51,0.46,0.44,0.39,0.37,0.38,0.45,0.48,0.51,0.59,0.66,0.68,0.74,0.82,0.83,0.64
"21",0.21,0.2,0.19,0.17,0.14,0.14,0.13,0.12,0.14,0.15,0.18,0.18,0.2,0.23,0.26,0.29,0.32,0.32,0.17
"22",0.84,0.78,0.7,0.65,0.59,0.46,0.38,0.3,0.24,0.21,0.22,0.26,0.26,0.34,0.42,0.49,0.58,0.65,0.42
"23",0.81,0.86,0.92,0.96,0.99,0.97,0.96,0.89,0.81,0.75,0.71,0.7,0.67,0.71,0.75,0.78,0.83,0.85,0.9
"24",0.2,0.21,0.22,0.24,0.24,0.2,0.2,0.21,0.19,0.19,0.21,0.17,0.17,0.17,0.14,0.16,0.17,0.19,0.15
"25",0.58,0.6,0.59,0.63,0.63,0.66,0.63,0.61,0.59,0.53,0.46,0.45,0.5,0.51,0.52,0.56,0.61,0.66,0.6
"26",0.2,0.19,0.13,0.11,0.09,0.07,0.06,0.08,0.1,0.15,0.25,0.34,0.48,0.62,0.82,0.96,0.97,0.95,0.17
"27",0.87,0.82,0.79,0.76,0.74,0.56,0.48,0.44,0.38,0.27,0.21,0.15,0.12,0.06,0.05,0.05,0.05,0.04,0.25
"28",0.55,0.58,0.62,0.66,0.68,0.67,0.68,0.62,0.59,0.54,0.52,0.56,0.58,0.63,0.67,0.79,0.86,0.89,0.73
"29",0.82,0.82,0.84,0.83,0.79,0.75,0.56,0.47,0.39,0.3,0.29,0.3,0.3,0.32,0.4,0.44,0.53,0.63,0.54
"30",0.02,0.02,0.03,0.03,0.04,0.06,0.1,0.13,0.15,0.18,0.26,0.33,0.39,0.46,0.49,0.51,0.54,0.6,0.12
"31",0.23,0.2,0.11,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.06,0.09,0.12,0.01
"32",0.29,0.28,0.28,0.28,0.28,0.33,0.31,0.31,0.29,0.3,0.27,0.26,0.22,0.2,0.18,0.21,0.21,0.22,0.28
"33",0.34,0.31,0.31,0.32,0.31,0.34,0.43,0.48,0.57,0.64,0.69,0.7,0.63,0.59,0.54,0.48,0.47,0.42,0.51
"34",0.63,0.55,0.49,0.39,0.33,0.29,0.3,0.26,0.28,0.28,0.29,0.29,0.34,0.4,0.45,0.49,0.53,0.57,0.31
"35",0.31,0.28,0.29,0.31,0.35,0.43,0.53,0.59,0.67,0.67,0.65,0.58,0.56,0.51,0.49,0.48,0.49,0.52,0.57
"36",0.9,0.9,0.94,0.95,0.93,0.93,0.9,0.86,0.78,0.7,0.62,0.54,0.52,0.45,0.44,0.39,0.35,0.35,0.81
"37",0.91,0.89,0.85,0.82,0.79,0.72,0.68,0.74,0.77,0.81,0.83,0.86,0.85,0.75,0.63,0.58,0.5,0.39,0.86
"38",0.98,0.99,1,0.99,1,1,1,0.98,0.96,0.93,0.92,0.88,0.86,0.81,0.78,0.77,0.75,0.76,1
"39",0.88,0.89,0.89,0.89,0.88,0.85,0.87,0.88,0.9,0.91,0.9,0.9,0.9,0.89,0.87,0.79,0.77,0.73,0.97
"40",0.59,0.57,0.55,0.55,0.54,0.5,0.45,0.46,0.43,0.48,0.45,0.47,0.47,0.48,0.49,0.53,0.54,0.54,0.57
"41",0.64,0.69,0.72,0.73,0.71,0.67,0.66,0.61,0.52,0.42,0.41,0.37,0.37,0.36,0.4,0.45,0.51,0.5,0.59
"42",0.21,0.15,0.08,0.07,0.05,0.05,0.06,0.07,0.12,0.17,0.27,0.43,0.59,0.63,0.7,0.65,0.62,0.58,0.14
"43",0.91,0.9,0.88,0.91,0.88,0.83,0.85,0.78,0.76,0.72,0.71,0.66,0.64,0.64,0.62,0.62,0.58,0.58,0.88
"44",0.99,0.96,0.96,0.96,0.95,0.93,0.94,0.86,0.89,0.91,0.93,0.92,0.89,0.92,0.95,0.98,0.97,0.95,0.99
"45",0.88,0.88,0.88,0.89,0.86,0.86,0.88,0.95,0.96,0.94,0.89,0.84,0.77,0.77,0.71,0.65,0.6,0.57,0.94
"46",0.42,0.41,0.38,0.32,0.28,0.22,0.12,0.07,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01
"47",0.55,0.5,0.48,0.46,0.47,0.5,0.52,0.54,0.57,0.63,0.64,0.7,0.72,0.8,0.82,0.88,0.92,0.95,0.74
"48",0.67,0.55,0.45,0.36,0.25,0.18,0.2,0.22,0.24,0.3,0.37,0.41,0.58,0.68,0.81,0.84,0.84,0.83,0.42
"49",0.51,0.51,0.51,0.49,0.52,0.5,0.5,0.47,0.42,0.36,0.33,0.3,0.22,0.18,0.13,0.12,0.11,0.12,0.36
"50",0.53,0.49,0.47,0.43,0.37,0.33,0.29,0.22,0.14,0.11,0.1,0.08,0.1,0.1,0.11,0.12,0.17,0.18,0.18
"51",0.45,0.42,0.38,0.34,0.38,0.38,0.34,0.35,0.35,0.39,0.41,0.47,0.54,0.59,0.69,0.77,0.87,0.93,0.56
"52",0.8,0.77,0.73,0.64,0.49,0.4,0.31,0.2,0.1,0.08,0.08,0.07,0.05,0.05,0.05,0.05,0.06,0.06,0.11
