goid	10	14	18	22	2	6
GO:0008272	3.40900136084694	3.19869886900546	4.78231101419575	4.89563887106254	6.05740860061477	4.37885722871898
GO:0072348	3.40900136084694	3.19869886900546	4.78231101419575	4.89563887106254	6.05740860061477	4.37885722871898
GO:0006857	0	3.57717157360947	0	0	0	0
GO:0006790	0	0	0	3.01161418251233	0	0
GO:0055114	0	3.68217625540513	0	0	0	0
GO:0006820	0	0	0	0	4.70092988025876	0
GO:0043436	0	0	0	0	3.42402072675436	0
GO:0006520	0	0	0	0	5.18772936919808	4.36205606094992
GO:0019752	0	0	0	0	3.19090009578308	0
GO:0006082	0	0	0	0	3.38228204424105	0
GO:0015698	0	0	0	0	4.02052507851321	0
GO:0030091	0	3.43679017608192	0	0	0	0
GO:0040029	0	0	3.34354515934867	0	0	0
GO:0044281	0	0	0	0	3.30833394080519	0
GO:0006694	0	3.67271677903411	0	0	0	0
GO:0009628	0	4.73470388587322	0	0	0	0
GO:0008202	0	3.61546014746962	0	0	0	0
GO:0055085	0	3.17637949625669	0	0	5.28003958142914	0
GO:0019748	0	3.44635542529125	0	0	4.30103780077949	0
GO:0070647	0	0	0	0	3.25137228114554	0

