goid	10	14	18	22	2	6
GO:0016043	0	0	4.56950307857149	0	0	4.69426729050813
GO:0031167	0	0	4.16351738070027	0	0	0
GO:0009765	0	12.5024775229215	0	0	0	8.7603213496225
GO:0019684	0	9.25606682966665	0	0	0	6.41052226352654
GO:0043631	4.75739151872506	4.42444080019205	4.19417126460944	0	0	0
GO:0071840	0	0	5.39839028445743	0	0	4.54023584323971
GO:0034660	0	0	4.44795639370041	0	0	0
GO:0006378	4.38502374811687	4.15399331719749	0	0	0	0
GO:0007017	0	0	0	0	0	4.47395979309206
GO:0015979	0	6.55099072551544	7.65863452664552	0	0	4.73144469038315

