"","Gene","Bd.10.1","Bd.10.2","Bd.10.3","Bd.14.1","Bd.14.2","Bd.14.3","Bd.18.1","Bd.18.2","Bd.18.3","Bd.22.1","Bd.22.2","Bd.22.3","Bd.2.1","Bd.2.2","Bd.2.3","Bd.6.1","Bd.6.2","Bd.6.3"
"14802","Bradi5g10260.v3.1",61.59477474,63.43003659,49.05540875,48.47334918,59.23250169,37.38318577,47.84383002,43.45044467,33.53105605,40.07756485,48.3155597,36.99732131,59.39238767,60.94224177,35.2040584,74.09335238,68.98057364,54.88672666
"14804","Bradi5g10290.v3.1",29.3062662,25.81062659,24.19624891,26.79883733,24.14863531,29.33592465,28.69145121,20.21885099,26.22203934,22.09539431,26.76473451,41.56086755,23.47492418,28.63992372,35.65635894,25.71276156,20.8680727,23.21837952
"14805","Bradi5g10300.v3.1",15.08326421,16.02620605,13.58967404,23.47495053,22.23496987,26.99490323,23.16101624,22.09344644,27.95510516,19.93331515,16.04725424,23.8499619,28.94964148,29.22590681,41.08396537,11.58765899,19.56381815,14.92066356
"14806","Bradi5g10310.v3.1",8.832025429,11.38704114,7.339371,15.92695759,9.112692568,13.16824548,12.91672059,14.12641575,12.43286348,10.70492851,13.32443493,8.746796961,11.6130367,13.47761116,12.21211448,9.980611394,6.376355546,8.221590124
"14807","Bradi5g10330.v3.1",45.59389751,35.51069867,32.86144177,41.68708029,29.52512392,39.24868722,41.94222492,46.46318736,29.76352166,50.78249336,49.24247691,35.04151578,53.66881959,60.86899388,28.19340009,38.31539798,41.73614539,26.64404207
"14808","Bradi5g10357.v3.1",17.77875249,24.12365753,47.2087283,15.4422241,19.5011621,24.06862646,19.00391076,14.79591413,29.38676822,16.61109596,14.8306754,34.28092474,14.26744508,18.45846746,39.27476323,25.54359865,32.67882217,25.34990288
"14809","Bradi5g10380.v3.1",30.33858086,36.94462237,24.43300281,40.16363218,42.37402044,27.90936472,44.4290648,45.32504012,30.36632716,35.01513561,38.81465827,24.33891328,47.36459967,50.54104185,35.95789263,34.84755843,31.66440197,22.3048695
"14810","Bradi5g10390.v3.1",75.58837348,71.19009425,65.39142807,73.19475726,63.42434028,74.29085157,71.07908028,82.08050102,56.81441857,65.38971108,68.59187372,68.7791612,65.61365733,76.39754587,74.93112217,58.02287641,50.72101003,63.18444262
"14811","Bradi5g10400.v3.1",29.07686294,24.46105134,23.95949501,32.33864867,24.69539686,19.27684824,28.06046198,31.26557421,28.70861203,20.09151606,28.27097498,19.50372739,28.36898964,33.18129269,16.81050326,30.87223016,29.05589289,16.97606109
"14812","Bradi5g10421.v3.1",24.31674534,21.42450704,19.88732787,22.29774062,22.59947757,16.8626699,32.06909941,30.52912599,17.33065818,32.48392099,39.97330478,23.08937086,34.34140851,37.20992647,22.46425997,47.5347763,44.34465448,23.90351203
"14813","Bradi5g10426.v3.1",74.26930474,56.42911499,40.15346199,64.05406856,57.22770933,41.55313018,67.77566611,60.38875361,53.64968968,53.68284345,64.13108463,43.8969686,73.16213118,82.40387259,55.63296595,49.1418239,49.56167265,37.68228807
"14814","Bradi5g10432.v3.1",75.98982918,72.37097259,64.39706168,77.83434925,62.7864518,67.0117381,85.55471543,80.54065475,60.2805502,76.09463958,83.30668446,69.37676844,89.50333282,88.99618239,59.02521998,62.33653048,74.84971908,59.91103174
"14816","Bradi5g10470.v3.1",1.949927692,1.855665964,3.740711671,2.631410384,1.640284662,6.767015037,0.81657429,2.209344644,2.938676822,2.636681898,2.549022334,5.541449006,1.824905766,3.076411243,3.919937981,3.3832581,1.739006058,4.795927572
"14817","Bradi5g10477.v3.1",15.94352642,18.89405345,17.89859508,31.29993404,16.03833892,30.57959228,23.45795234,27.44943346,22.68055701,39.07562573,26.93853149,37.59492855,43.71478813,32.22907017,26.98726533,23.17531798,19.63627674,15.14904106
"14818","Bradi5g10490.v3.1",15.37001828,13.66444937,13.92112951,9.348431627,14.39805426,13.02193164,19.85760206,20.48665034,15.44689099,15.18728773,13.44029958,16.95031461,24.22147654,19.26419421,20.27814071,23.6828067,19.99856967,18.57470361
"14819","Bradi5g10500.v3.1",12.33042511,9.86876899,8.570491297,16.34244344,17.86087743,8.815408779,20.04318713,14.26031543,20.19398432,12.76154039,13.0347733,12.22378457,10.61763355,17.87248437,5.352223012,13.44845095,10.28911918,10.73374266
"14820","Bradi5g10570.v3.1",5.849783076,5.566997892,6.108250703,7.063259452,6.652265575,5.120984353,8.57403005,9.239077603,6.178756396,4.007756485,4.750450713,7.279942812,4.31341363,11.71966188,7.387575425,8.119819439,5.072101003,4.491424234
"14821","Bradi5g10580.v3.1",93.25242433,94.30157035,85.46815906,126.5154414,134.5033423,133.5113778,114.4317517,112.2748778,109.1831466,94.49867923,94.31382636,99.42011453,85.10696893,87.75096832,82.9971484,57.59996914,49.92396558,47.35026905
"14822","Bradi5g10590.v3.1",15.25531665,11.30269269,24.10154735,17.4504057,16.03833892,21.91049734,17.59346426,21.22309855,21.85169945,16.03102594,15.46793098,31.67318403,20.73756553,17.72598859,24.19807869,10.3189372,12.68025251,18.19407444
"14823","Bradi5g10600.v3.1",30.33858086,26.56976267,25.04856296,29.36100007,29.25174314,31.01853379,33.77648201,27.24858394,21.09819257,24.15200619,22.7094717,26.24039088,20.73756553,21.75462236,32.8671723,24.61320267,26.4473838,17.58506777
"14824","Bradi5g10662.v3.1",26.1519714,21.25581013,18.41945367,32.33864867,23.96638145,29.07987543,21.11958051,29.92657745,17.17995681,25.15394531,23.86811822,32.75974266,28.36898964,26.66223077,16.2828193,25.96650591,18.11464644,21.31523365
"14826","Bradi5g10673.v3.1",18.58166389,13.83314628,6.771161632,21.95150241,11.39086571,10.13223333,19.48643193,15.66626202,8.966731842,14.71268499,17.61142704,7.225614881,21.48411789,24.09855474,12.13673106,15.22466145,16.52055755,5.404934248
"14827","Bradi5g10690.v3.1",14.45240525,11.6400865,10.93803033,18.83535854,20.50355828,19.27684824,16.55418789,19.14765358,12.05611004,18.6149742,18.77007355,14.12526217,13.43794246,13.77060271,10.47829576,12.34889206,7.970444433,12.18013352
"14828","Bradi5g10730.v3.1",23.57118475,22.09929466,21.44990363,22.85172176,21.41482754,23.95889108,26.65001548,22.76294482,20.57073776,22.72819796,21.72462217,22.49176361,27.53948702,39.84685039,28.64570063,24.02113251,24.49100198,24.5125187
"14829","Bradi5g10737.v3.1",5.161573303,17.03838749,8.475789735,10.87187974,8.748184866,8.925144158,7.571870693,8.234830037,13.78917586,6.117102004,3.649736524,7.171286949,19.24446081,12.52538863,21.10735836,7.274004914,9.999284834,8.526093462
"14831","Bradi5g10757.v3.1",29.01951212,18.55665964,58.52556488,12.25683258,19.77454287,35.66399817,18.11310244,20.75444969,39.86051382,23.2028007,16.56864517,59.65206872,13.18909168,10.54769569,41.31011564,41.86781898,34.92503833,50.7759316
"14832","Bradi5g10770.v3.1",445.7305301,504.9941875,491.9272601,252.5461492,328.7859479,250.4892918,311.7829109,347.4027078,382.7814938,304.6422265,425.8025944,349.7088946,344.5753888,396.1978194,323.6210337,713.0216445,860.1558715,484.2364331
"14833","Bradi5g10777.v3.1",5.792432262,5.566997892,2.17813591,5.193573126,4.829727061,6.620701199,7.312051601,6.761933608,5.651301581,6.960840211,9.500901427,8.203517647,8.792727784,6.73880558,3.467637444,7.781493629,5.506852517,4.567550069
"14834","Bradi5g10800.v3.1",102.4285546,99.69987133,103.4141049,124.0917739,96.95904893,115.9171387,112.353199,131.5564311,91.62643631,126.6661984,137.3575444,114.5776074,127.3286523,117.050123,85.03250081,93.71624936,88.9791433,93.10189557
"14835","Bradi5g10810.v3.1",20.30218832,18.21926583,23.67539032,22.50548355,20.5946852,19.93526052,19.44931492,25.37398849,23.81081733,22.41179614,24.15777985,18.19985703,20.571665,21.90111814,21.55965889,26.38941318,22.60707875,23.21837952
"14836","Bradi5g10820.v3.1",77.93975687,80.55277253,70.07915535,71.80980443,61.32842098,64.85360898,72.08123964,83.48644761,63.06852565,64.70417378,83.59634609,67.5839467,77.64144534,88.99618239,69.65428258,76.88454031,73.83529888,57.24662753
"14837","Bradi5g10860.v3.1",88.66435918,75.32316845,136.5123006,59.89921006,87.66410251,66.02411969,67.59008104,69.15918234,92.75669662,50.36062426,60.71307741,110.0140612,58.14813374,61.67472064,98.75228374,123.5735021,154.3367877,124.5418652
"14838","Bradi5g10880.v3.1",8.373218913,6.747876232,13.25821858,9.417679269,9.112692568,9.583556431,10.91240188,6.895833283,12.88496761,8.120980247,7.067743744,13.36467113,8.626827259,8.203763315,15.75513534,11.16475173,11.15862221,15.30129273
"14839","Bradi5g10920.v3.1",5.907133891,7.422663856,8.8072452,6.509278318,7.290154055,7.023064255,6.235658218,7.431431985,10.4737456,6.117102004,7.357405373,11.35453767,10.78353407,5.273847846,24.87652949,6.428190389,5.217018174,20.24947197
"14840","Bradi5g10930.v3.1",119.633799,108.7251558,75.76124903,143.6888565,108.8966762,112.6616558,113.5409434,118.0995137,85.5230306,119.4944236,99.1222094,80.40533852,100.950469,86.35925847,50.58227663,77.30744757,57.38719992,55.03897833
