"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"5294","Bradi2g09130.v3.1",27.53362544,28.09821564,25.85800019,33.21331027,29.89877272,33.62714125,36.66595801,32.81959324,36.2143356,32.99284233,31.18996711,34.93677815,39.77145612,47.42444551,46.10143868,34.4254186,27.45580759,24.52306394
"5295","Bradi2g09160.v3.1",5.304096676,10.29111601,7.841415219,4.182416849,10.63067475,6.94692439,8.040780264,8.636735062,12.14932549,9.605511058,15.96926316,8.530211227,8.123832067,13.17812026,8.307387961,8.465266869,5.020853703,10.34306098
"5296","Bradi2g09170.v3.1",41.89640408,48.9117087,59.74411595,36.78066582,49.91434002,47.92371029,59.50177396,50.49949795,55.37288733,64.21075327,68.11888817,54.8158791,70.3594499,65.89060129,61.16428499,43.64315364,42.5183687,40.87177324
"5297","Bradi2g09177.v3.1",3.694988695,3.237654477,3.360606522,5.289527191,2.657668686,4.228562672,5.78936179,5.893301572,2.102767873,3.341047324,4.907221492,3.041205742,4.733015204,7.974021812,5.568688633,7.430623141,8.135054101,3.920353759
"5299","Bradi2g09191.v3.1",17.46180142,16.997686,14.65597844,20.66605972,12.04256124,13.39044846,10.05097533,13.00590692,11.79886418,16.07879025,13.14137281,13.87086521,16.17702212,14.85686169,11.95898706,15.23748036,15.31678155,15.26435613
"5300","Bradi2g09195.v3.1",18.17696052,16.65079445,18.10993515,28.23131373,20.84608876,22.149614,21.71010671,22.35390251,30.13967285,22.44766171,20.12792544,20.69503419,19.77976503,18.96977821,12.05027704,20.03446492,20.52830058,27.02541741
"5301","Bradi2g09200.v3.1",234.4529924,193.449855,229.0813446,206.1685482,200.9031423,188.0703589,208.8994713,229.0258921,273.0093622,236.9011368,223.2369913,262.5821543,235.1672778,181.1362007,242.8313404,245.3046222,291.7179556,276.8437048
"5302","Bradi2g09202.v3.1",7.211187615,9.250441362,7.841415219,9.041401129,8.803527524,7.148284517,6.513032014,10.16086478,11.44840287,12.00688882,6.154820177,13.05493196,8.759610228,6.37921745,7.668358118,8.277149827,10.74081362,11.92788484
"5303","Bradi2g09211.v3.1",2.324267083,2.543871374,0.933501812,1.722171644,2.076303661,1.1074807,1.125709237,3.251476729,1.635486124,1.87933912,0.582212719,4.302193488,1.554124395,3.105671653,1.095479731,0.658409645,1.271102203,2.168706335
"5304","Bradi2g09240.v3.1",5.304096676,5.897156368,6.067761776,6.458143664,4.069555176,5.134683245,9.568528515,8.73834371,12.73342768,7.621764209,5.572607457,10.75548372,10.17245059,8.477644242,5.203528723,5.173218642,4.00397194,8.758237122
