	Bd21.10	Bd21.14	Bd21.18	Bd21.22	Bd21.2	Bd21.6	col.10	col.14	col.18	col.22	col.2	col.6	sta.10	sta.14	sta.18	sta.22	sta.2	sta.6	Bh.10	Bh.14	Bh.18	Bh.22	Bh.2	Bh.6
Bradi1g00920.v3.1	-0.084212111	0.592183022	-0.514111469	0.45557261	1.480198693	-0.679069829	1.999680543	0.364137635	1.01360969	1.177371557	2.719292891	-0.063284686	-0.726905004	-0.450910324	-0.732532209	-0.603175803	-0.657971386	-0.827482809	-0.566754237	-0.833528882	-1.024330538	-0.741416004	-0.21820195	-1.0781594
Bradi1g00931.v3.1	-0.17749779	1.038467515	-0.271041062	0.66395297	1.824349557	-0.307919558	1.835673657	-0.244460724	0.366780646	1.573050909	1.866094867	0.31339672	-0.116496785	-0.716101197	-1.533862269	-0.694037322	-1.447445393	-1.121259753	0.131187908	-0.481097818	0.096030243	-0.924694113	-1.068988073	-0.604083134
Bradi1g00960.v3.1	1.584664945	1.543478601	1.372560089	0.919444685	0.939265057	1.066876476	0.678557174	1.348234399	0.705887935	0.586852426	0.381812311	0.343047851	-0.97796108	-0.952048221	-0.982097493	-0.953042509	-0.885743383	-0.952377535	-0.987425384	-0.9646438	-0.95892245	-0.968443824	-0.950771163	-0.937205107
Bradi1g00980.v3.1	-0.929042173	-0.015799303	-0.268887923	-0.790886416	0.291870327	-1.29844192	-0.214108288	1.399754632	1.513234781	-0.288883697	0.80614819	-0.112766325	-0.185010608	-0.010665058	-0.262753168	-0.193424872	2.45214593	2.123107316	-1.109642648	-0.588831886	-0.890777568	-1.079813051	0.653676737	-1.000203008
Bradi1g01014.v3.1	0.329960982	1.023563277	0.419856638	-0.577996633	1.884528682	-0.46276589	1.422059718	-0.612717957	0.587219102	0.943233791	1.335473728	0.035633993	0.013698789	-0.343107971	-0.491688226	-1.422908373	-0.302566212	-1.781011667	-0.448739276	0.107268007	-1.65338544	-0.515037872	1.697119617	-1.187690805
Bradi1g01021.v3.1	-1.936781208	-0.078744429	0.208547288	-0.702385855	-0.508630258	-1.782332644	-0.490074111	0.039811282	1.406445717	0.371507328	0.129825714	-1.694917385	0.549450865	-1.043624055	0.622136815	0.599232457	-0.601027196	2.233652864	-0.567786404	0.063885634	1.07312506	1.319964604	0.438723599	0.349994317
Bradi1g01040.v3.1	-0.76368526	-0.754273175	-0.758338766	-0.765357105	-0.744309872	-0.761530253	-0.760243261	-0.765326864	-0.76563824	-0.777881631	-0.77276756	-0.758353095	1.115213966	1.832165873	1.867698123	1.711615699	1.673022127	1.741223536	-0.123917789	-0.260645092	-0.205550232	0.034471966	-0.015019652	-0.222573441
Bradi1g01047.v3.1	-0.611421754	0.583946333	0.071327362	0.293812278	1.373306669	-0.310637159	0.95291279	0.54392186	1.531148703	0.938023132	2.748702229	0.305710726	-0.909454327	-0.199259599	-0.170679045	-0.735750738	-0.818742368	0.546121606	-1.496409565	-1.028583811	-0.621139275	-1.208184867	-0.845613233	-0.933057948
Bradi1g01080.v3.1	-0.235552949	1.07200446	0.844741355	0.744005025	1.241863408	0.176533522	0.322880057	1.305886333	1.323433922	0.846094077	2.306734173	0.727190537	-1.007556164	-1.034648671	-0.869167545	-1.154751482	-0.952738293	-0.911188782	-0.926701408	-0.621974208	-0.729062845	-0.717471413	-0.661571056	-1.088982052
Bradi1g01090.v3.1	-0.84170981	-0.106169561	-0.542886534	-0.270137963	0.855894879	-1.015244409	-0.822915741	-1.468145215	-1.368307264	-0.312564057	-0.502923203	-2.135451332	0.35152374	0.418701099	0.680479712	1.047104005	-0.011661026	-1.056794128	0.992038478	1.071830316	1.128663872	1.416923213	1.386151862	1.105599066
Bradi1g01110.v3.1	-0.944238662	-0.881380354	-0.935474172	-0.869209679	-0.769033271	-1.025076378	-0.827929021	-1.138859705	-0.71149098	-0.774905568	-0.800296784	-0.690013278	1.40612377	1.240714608	1.676155362	1.488137952	1.429968151	1.920666549	0.047079516	-0.042536757	0.570874722	0.451899697	0.208761213	-0.029936931
Bradi1g01130.v3.1	-0.925267756	-0.788433279	-0.440665867	-0.699491632	-0.282555717	-0.355711922	-1.434745407	-1.144114567	-1.216114669	-1.168238216	-1.21049039	-0.723064522	1.091178871	0.882262493	1.548726457	0.922633067	2.397074839	0.618847283	0.725845331	0.285647972	0.668797545	0.818777614	0.579989641	-0.150887167
Bradi1g01172.v3.1	-0.040784698	0.4037567	0.416972972	0.99630699	0.859040875	0.379626373	1.430510045	1.074896144	2.129089177	0.832942994	1.206662556	1.078737887	-1.304420328	-1.161652011	-0.991028036	-0.967377843	-0.657741199	-0.706588713	-1.029454188	-0.811978882	-1.035305943	-1.217564446	-0.73640487	-0.148241554
Bradi1g01210.v3.1	-0.579413383	-0.566930393	-0.562739618	-0.51236836	-0.531859688	-0.581781705	-0.501615329	-0.574537986	-0.518163159	-0.553046587	-0.524582387	-0.560759572	2.414289	1.946928044	1.222359363	1.538757845	1.037570277	1.938829668	-0.617733988	-0.601431881	-0.579159116	-0.589540404	-0.580192708	-0.562877933
Bradi1g01250.v3.1	0.791658612	1.003901199	0.7265128	1.614080989	1.450017159	0.599382041	0.626579393	0.044196892	0.727424611	1.21063041	0.702530583	1.801786588	-0.935002114	-0.945788135	-0.936696926	-0.960967096	-0.937155801	-0.940905202	-0.935925638	-0.958307294	-0.906745687	-0.937839942	-0.933673295	-0.969694147
Bradi1g01257.v3.1	1.051913434	1.296619993	1.159290833	1.331378739	1.479254452	0.5862409	0.822226394	0.412144363	0.712207332	1.061468919	0.726927879	1.063231596	-0.998598004	-0.977411874	-0.995315369	-0.931879446	-0.929261802	-1.025334804	-0.99340529	-0.991698064	-0.947943386	-0.929731439	-0.974556264	-1.007769092
Bradi1g01280.v3.1	-1.172370929	-0.617034445	-0.479056007	-0.283560608	0.172266869	-1.159435758	-1.114474692	-0.964012854	-1.020412662	-0.089046682	-0.491743804	-1.012791864	1.344055304	0.706876626	1.801887012	1.387236395	1.37463043	0.61265955	-0.253802284	-0.171245057	2.421671155	-0.481457894	-0.18474771	-0.32609009
Bradi1g01310.v3.1	0.692069814	0.621572634	0.274482699	0.829829567	0.126070482	2.210933899	1.548219377	0.493510481	0.970319379	1.565058165	0.43880181	0.657445626	-0.908088494	-1.076350191	-1.023636971	-1.548496111	-1.556525699	-0.681187381	-0.77526616	-0.449952203	-0.666779373	-0.193817754	-0.846938797	-0.7012748
Bradi1g01336.v3.1	-0.672611469	-0.65832214	-0.586463375	-0.695288326	-0.420670646	-0.747507342	-0.73682884	-0.730837396	-0.818291681	-0.746299807	-0.818291681	-0.701362004	1.502858558	0.735917705	2.388210059	1.708323381	2.086697707	1.347658559	-0.110376924	-0.339981873	-0.375932017	-0.142383964	-0.016798417	-0.451418065
