Gene,BhBd.10.1,BhBd.10.2,BhBd.10.3,BhBd.14.1,BhBd.14.2,BhBd.14.3,BhBd.18.1,BhBd.18.2,BhBd.18.3,BhBd.22.1,BhBd.22.2,BhBd.22.3,BhBd.2.1,BhBd.2.2,BhBd.2.3,BhBd.6.1,BhBd.6.2,BhBd.6.3
Bradi4g15030.v3.1,37.18987207,31.53678766,30.23877637,31.49769606,31.00575788,42.4816978,31.97805482,40.05262113,36.1806348,41.03638525,33.71582428,26.39690681,55.13594065,37.60594943,52.90175982,36.78524458,44.46852286,43.42609256
Bradi4g15047.v3.1,20.12489913,25.13801915,20.15918425,18.89861764,28.21688019,23.90830434,16.14733461,31.24104448,21.98317051,22.06479006,24.34118046,31.64712032,22.22103401,33.50049643,46.82520633,16.72056572,23.92531793,16.38720474
Bradi4g15060.v3.1,9.650536423,12.79753702,12.09551055,9.20701885,7.874478193,17.3878577,5.699059275,9.212102861,5.953775346,5.773963754,8.058904341,6.854445414,11.66604286,13.46588582,7.148886463,7.059794415,6.263172234,4.260673232
Bradi4g15067.v3.1,26.12706202,18.96777809,31.15510293,18.89861764,30.34955137,30.23116169,23.11285151,22.82999405,21.75417915,27.01390185,48.35342605,22.7509252,37.22023197,38.42704002,37.53165393,25.08084858,21.67057593,26.38339963
Bradi4g15090.v3.1,82.50031747,66.73001447,76.97143077,90.37415871,70.21409722,82.3947348,66.17241047,81.90761022,82.20789805,80.62927956,76.80629239,84.1492554,87.21755851,77.01829817,64.33997816,89.17635051,90.94126084,108.6471674
Bradi4g15110.v3.1,7.179057583,8.226988086,8.246939011,5.814959273,2.952929322,8.298750267,4.115987254,13.81815429,2.747896314,12.78520546,5.756360244,4.375177924,4.027562415,8.375124108,12.68927347,7.617146606,22.4221566,12.94589174
Bradi4g15117.v3.1,41.191314,46.8481266,46.91591971,62.75310216,45.44230124,37.73955479,65.69748887,54.47156474,70.52933872,55.05886865,52.3006445,38.50156573,59.44126599,70.94222774,51.82942685,50.34748122,59.12434589,54.89713588
Bradi4g15130.v3.1,145.934941,142.8296543,142.5804122,112.5436909,103.8446812,113.0210751,100.8416877,123.3620731,103.2751031,100.6319397,119.2388908,96.83727138,124.7155534,125.1342073,89.53980294,157.5448859,141.1719022,138.6357521
Bradi4g15150.v3.1,19.06569391,5.02760383,10.99591868,8.237858971,10.171201,6.520446639,17.41379223,16.62183777,16.48737788,22.27100305,15.78887381,8.166998791,16.80465697,18.39242941,17.87221616,19.69311074,10.77265624,14.42074017
Bradi4g15160.v3.1,9.297468017,9.598152767,18.14326582,10.66075867,10.99145914,14.22642903,15.0391842,8.811576649,10.53360254,9.898223578,16.11780868,18.66742581,13.88814626,14.9438489,15.37010589,13.00488445,11.7747638,10.16006694
Bradi4g15177.v3.1,17.53573082,15.53986638,16.1273474,12.35678846,20.67050526,15.60955407,24.69592353,20.82736299,18.77729148,23.92070698,18.09141791,18.37574728,19.86004915,18.88508377,19.12327129,17.27791791,22.54742004,19.66464569
Bradi4g15190.v3.1,8.473641737,5.02760383,9.163265568,7.632134046,2.296722806,10.66982177,1.583072021,6.808945593,3.663861752,4.536685807,0.986804613,3.791820867,7.777361905,5.583416072,6.433997816,8.36028286,11.02318313,13.60137993
Bradi4g15200.v3.1,20.47796753,18.73925064,13.01183711,22.53296718,20.342402,22.92035788,25.32915233,20.82736299,18.77729148,26.60147587,19.57162483,22.02172888,29.02622568,49.59387217,18.76582696,12.26174819,21.04425871,25.56403939
Bradi4g15350.v3.1,8.002883863,10.74079,26.39020484,1.696029788,7.874478193,15.41196478,12.03134736,4.005262113,15.8004038,11.96035349,14.14419946,16.62567611,14.44367211,2.627489916,2.502110262,21.17938325,4.258957119,7.210370085
Bradi4g15360.v3.1,10.59205217,8.68404298,8.613469634,10.17617873,12.46792381,11.46017894,13.93103378,8.411050438,16.02939516,11.54792751,10.85485074,9.18787364,15.27696088,12.80901334,17.51477183,8.917635051,8.267387349,9.176834654
Bradi4g15425.v3.1,9.88591536,14.6257566,11.72897993,16.47571794,12.79602706,16.20232195,26.75391715,31.24104448,18.54830012,12.37277947,19.40715739,16.04231905,22.77655986,16.75024822,7.148886463,8.36028286,13.27792514,10.81555513
Bradi4g15430.v3.1,2.824547246,4.113494043,2.565714359,8.237858971,2.952929322,7.903571683,5.065830467,9.412365966,3.205879033,8.660945631,3.289348711,1.75007117,2.777629252,3.284362395,1.608499454,4.830385652,5.386328121,1.310976379
Bradi4g15450.v3.1,98.15301679,67.87265171,107.9432684,48.70028392,90.88460248,79.826074,94.03447804,69.29103456,99.84023273,115.4792751,135.5211669,120.7549107,101.3834677,76.19720757,94.36530131,105.8969162,62.13066856,57.02747249
Bradi4g15460.v3.1,3.059926183,1.371164681,4.03183685,1.938319758,0.656206516,1.580714337,2.849529638,4.005262113,0.915965438,1.64970393,3.618283582,4.375177924,1.944340476,0.656872479,1.429777293,1.486272508,3.256849562,1.966464569
Bradi4g15700.v3.1,29.18698821,22.62421724,36.10326634,26.28846172,21.65481503,32.4046439,31.34482601,28.03683479,33.8907212,30.5195227,22.86097354,47.68943937,25.41530765,38.91969438,26.09343559,42.17298243,37.70429685,31.4634331
Bradi4g15710.v3.1,140.2858465,160.1977402,140.3812285,126.3542192,153.880428,165.3822375,154.1912148,141.3857526,218.4577569,175.6934685,158.0532055,147.5893353,144.714484,175.0565157,203.7432642,161.8179194,152.5708756,168.7882088
Bradi4g15730.v3.1,32.48229333,47.07665405,26.75673546,28.46907144,41.01290725,30.0335724,34.51097006,42.4557784,50.60709044,44.95443208,35.1960312,39.08492279,38.47016514,41.38296618,46.11031768,51.09061748,47.85063587,36.87121066
Bradi4g15740.v3.1,60.61007631,70.84350852,52.96367498,67.2354666,50.36385011,66.19241285,54.61598472,67.48866661,78.5440363,46.19171003,64.8001696,70.14868605,47.49746021,64.53772107,62.73147871,59.6366844,67.26646979,61.94363392
Bradi4g15750.v3.1,12.71046261,5.941713618,13.56163304,5.814959273,4.265342354,8.298750267,8.865203317,11.21473392,10.7625939,3.711833842,15.13100407,14.00056936,6.110784354,10.18152343,12.15310699,10.77547569,8.267387349,5.899393706
Bradi4g15760.v3.1,8.2382628,19.42483298,6.231020586,10.66075867,8.694736338,10.27464319,8.865203317,10.81420771,7.785706222,15.46597434,22.86097354,7.875320263,11.94380578,13.46588582,18.94454913,10.77547569,17.53688226,9.176834654
Bradi4g15781.v3.1,2.824547246,5.713186171,6.047755275,6.905264137,5.741807016,2.963839381,7.5987457,5.607366959,3.663861752,15.05354836,9.045708954,7.000284678,7.638480442,7.22559727,7.506330786,5.573521907,6.263172234,8.849090559
Bradi4g16000.v3.1,91.09164867,100.5520766,67.8081652,70.26409122,76.11995586,70.73696657,80.10344426,74.0973491,89.30663019,68.87513906,76.97075983,79.04488116,89.99518776,111.3398852,71.48886463,66.88226288,79.91807771,81.6082796
Bradi4g16010.v3.1,16.35883613,10.74079,10.99591868,14.65854317,10.82740752,13.43607186,17.57209943,17.8234164,29.53988537,30.72573569,18.58482021,21.58421109,13.88814626,13.46588582,21.08921506,33.99848363,23.67479104,31.62730515
