Gene,BhBs.10.1,BhBs.10.2,BhBs.10.3,BhBs.14.1,BhBs.14.2,BhBs.14.3,BhBs.18.1,BhBs.18.2,BhBs.18.3,BhBs.22.1,BhBs.22.2,BhBs.22.3,BhBs.2.1,BhBs.2.2,BhBs.2.3,BhBs.6.1,BhBs.6.2,BhBs.6.3
Bradi1g25057.v3.1,13.76388371,13.10740536,16.1726647,16.11700194,15.9798526,23.40165659,16.50388282,18.76965528,12.40112192,12.47758265,9.423062879,11.01948169,19.84042547,18.02814967,19.03401266,9.334958505,22.19010964,10.87253448
Bradi1g25080.v3.1,45.75887656,40.0243985,44.14186129,32.10906588,51.47194628,31.61276417,48.36781501,31.35151212,48.65055522,35.74087233,53.84607359,49.96504711,50.46369087,41.3788959,39.74749703,47.05581124,42.0579985,34.82608702
Bradi1g25090.v3.1,35.97927497,44.00343227,37.29226212,21.11452192,23.88567442,41.26081557,32.02733697,34.2391514,31.95673726,18.61063175,34.32687192,23.85038503,47.01318209,36.227996,41.80018467,19.05093572,29.41479649,37.03457058
Bradi1g25107.v3.1,15.45418522,15.21395265,16.74346463,25.8621659,16.48447953,17.24332591,19.28176409,21.45103461,19.07864911,32.14563665,27.59611272,10.71757808,11.78923832,19.23002631,15.67506925,21.71806673,16.77159449,16.30880172
Bradi1g25117.v3.1,83.06624557,65.06890516,86.38105614,108.3212456,83.09523353,78.41607735,83.4998428,81.26641958,104.4556039,84.59378067,76.22584793,89.06156433,94.60144898,75.88992527,69.23155586,58.86739139,69.92464781,64.55567349
Bradi1g25150.v3.1,62.05821254,57.11083762,83.33678984,56.22209978,59.20955911,50.49831159,51.7993154,82.71023922,74.40673152,63.23385105,57.21145319,75.02304657,80.51187148,111.9462246,50.19754319,80.96647683,82.30982528,93.60572656
Bradi1g25157.v3.1,164.9251329,149.3307967,155.828381,74.96279971,140.9591208,167.7118722,127.4557287,77.55374051,111.6100973,125.1987954,156.9949583,140.6870813,111.9977641,79.66725187,126.1469859,112.4005208,103.7258613,111.2735951
Bradi1g25170.v3.1,37.54884066,31.13008772,38.43386198,45.22755583,49.2852296,42.4924817,47.38738633,33.62037155,33.14915282,36.37532569,40.72109316,28.98274636,46.4380973,47.73167245,33.96265004,34.67270302,30.44689462,37.20445393
Bradi1g25180.v3.1,100.4522039,124.2862901,104.6466539,83.95833568,111.1861323,121.5243921,132.5212769,110.5553322,123.0572867,102.1469902,129.0623076,136.0075754,91.8697962,93.40298495,91.62451193,130.4989097,131.7215229,138.1151646
Bradi1g25200.v3.1,5.191640348,3.744972959,10.46466539,7.996031969,6.223732066,6.158330682,10.13109639,10.51925736,9.539324554,9.516800325,6.394221239,9.057108237,10.06398393,7.039563204,6.717886822,10.66852401,8.385797246,13.2509014
Bradi1g25215.v3.1,233.2616082,202.2285398,211.5765075,170.2904933,227.2503249,223.5474038,223.7011444,210.5914071,188.8786262,226.2883633,221.7785156,228.5410312,185.3210756,242.4356889,239.418022,172.0299496,181.1332205,204.7094383
