Gene,Bs.10.1,Bs.10.2,Bs.10.3,Bs.14.1,Bs.14.2,Bs.14.3,Bs.18.1,Bs.18.2,Bs.18.3,Bs.22.1,Bs.22.2,Bs.22.3,Bs.2.1,Bs.2.2,Bs.2.3,Bs.6.1,Bs.6.2,Bs.6.3
Bradi3g28920.v3.1,10.33090554,9.57860632,8.597725328,15.39672076,18.26210783,14.74094232,21.82421886,19.21682171,18.66392645,14.88466332,11.57002061,6.578693742,9.88544948,7.390351494,8.704291709,9.582865457,5.463224306,8.84296037
Bradi3g28937.v3.1,72.22155982,93.27738059,71.38717394,69.05429261,66.59654892,87.27716459,90.58016499,82.67920366,86.52530816,66.06500568,78.07248688,75.52340416,71.61203519,71.31040915,55.61075259,72.86772942,50.16233226,52.64064144
Bradi3g28950.v3.1,29.85536922,31.70062568,31.78553,39.33862154,36.08679991,39.09945067,29.74274074,34.21531671,38.88318011,39.61610392,38.53319907,31.97245159,44.1396814,42.52693491,32.39930803,33.68234888,35.75928636,33.16110139
Bradi3g28970.v3.1,190.6952472,185.984606,199.701711,219.9421561,185.9016965,193.2501585,186.568101,201.4485359,203.3385671,186.172789,178.8825795,190.3873969,157.5924563,162.5877329,190.4305597,256.6500105,200.649329,207.2673117
Bradi3g28977.v3.1,28.14934812,17.3327162,30.09203865,25.63554007,23.07368115,23.99897317,25.01094108,28.68462168,30.69724746,25.76191729,15.39315785,30.91986059,13.79365044,22.81933093,25.82273207,25.14316184,18.87295669,27.73853135
Bradi3g28992.v3.1,0,0,0.260537131,0,0.328061817,0.269651384,0,0.093740594,0,0,0,0,0.114947087,0,0.483571762,0,0,0.041712077
Bradi3g29007.v3.1,21.98871638,24.63070196,22.66673041,30.17757269,30.94716477,25.97641665,30.1290101,22.12278012,27.25915574,26.44890175,23.34125897,25.6569056,31.38055475,25.54209201,35.20402425,31.97451148,22.05155992,27.32141058
Bradi3g29017.v3.1,15.54374778,19.95542983,19.27974771,17.93717969,14.21601208,21.12269174,13.90569697,20.06048706,19.48251972,10.87725397,17.2041176,10.52590999,23.10436448,20.22622514,19.14944176,18.78621149,15.39635941,19.85494875
Bradi3g29060.v3.1,63.21755958,41.279232,65.52508849,56.96786681,75.01680223,52.76178745,94.24972391,86.71004919,69.90786487,69.04193834,31.49057783,88.15449615,32.53002562,26.19036845,89.4607759,77.70660207,67.04866193,51.55612744
Bradi3g29087.v3.1,86.62796021,85.29520866,108.9045208,79.67802993,102.1365791,90.5129812,103.3270539,121.9565124,89.06294728,103.276664,82.09684188,116.4428792,83.33663806,86.48007801,113.1557922,115.6585445,107.3771904,90.55691963
Bradi3g29100.v3.1,16.11242148,15.50821976,12.1149766,15.70465518,10.0605624,14.74094232,16.22331313,17.43575043,16.29000598,24.38794837,13.5821981,19.47293348,22.52962905,25.80140258,17.11844036,16.12957552,14.70103995,11.84622993
Bradi3g29104.v3.1,9.857010789,15.16612667,12.1149766,15.01180274,13.55988845,11.32535812,9.173897307,9.749021747,10.06869717,8.587305764,4.124963869,16.31516048,8.506084437,6.0937986,13.15315192,12.71390071,8.443164836,9.468641528
Bradi3g29108.v3.1,3.317263246,4.561241105,3.777788402,2.694426133,4.92092726,2.966165223,5.214636364,3.843364342,3.110654409,2.404445614,3.923746119,3.552494621,2.988624262,2.333795209,2.804716217,4.459353232,2.483283775,2.711285019
Bradi3g29112.v3.1,14.50117933,13.56969229,7.816113935,11.08563895,11.81022542,12.76349884,7.725387206,13.12368312,11.95146168,9.617782455,10.46332298,10.52590999,11.72460287,8.946214967,9.768149585,11.76510215,10.82711726,11.01198838
