"","Gene","Bs.10.1","Bs.10.2","Bs.10.3","Bs.14.1","Bs.14.2","Bs.14.3","Bs.18.1","Bs.18.2","Bs.18.3","Bs.22.1","Bs.22.2","Bs.22.3","Bs.2.1","Bs.2.2","Bs.2.3","Bs.6.1","Bs.6.2","Bs.6.3"
"12665","Bradi4g11030.v3.1",60.46897004,65.45380985,58.88139164,46.11317868,57.84823379,66.06458906,57.84383671,58.86909285,58.44755916,60.6836274,73.64569639,71.44461404,82.64695554,69.23592452,76.11419528,67.26981791,67.44598734,66.8227477
"12676","Bradi4g11420.v3.1",72.31633877,87.1197051,64.48293996,83.91212814,75.45421799,79.90669343,50.79442088,50.52618001,57.9564032,35.83768939,41.65207419,33.68291196,27.81719505,20.09656985,20.21329964,55.03031649,51.95029658,71.82819696
"12760","Bradi4g14090.v3.1",109.5644661,126.5744407,114.7666063,132.7967166,133.5211597,139.8591845,149.5828098,139.4860035,135.3134668,157.433939,161.3766353,139.4683073,213.1118993,242.4553911,183.9506981,176.6662919,153.1689433,157.5882277
"12782","Bradi4g14870.v3.1",84.92193911,92.93528751,90.53665308,78.9081939,86.28025796,85.3896049,82.37194108,101.05236,100.032097,104.4216381,113.4868108,92.89115564,111.7285685,119.4125215,108.706932,96.39793371,101.317978,89.55582978
"12822","Bradi4g16140.v3.1",74.11713882,90.4266049,80.89677923,91.99540654,92.73214037,93.65891401,89.42135691,83.71035019,97.7400359,114.4974102,126.0629202,102.1013269,133.6834622,138.9904702,112.3820774,123.0591732,128.0381115,121.548993
"12853","Bradi4g16630.v3.1",12.03692664,5.587520353,12.37551373,18.01416329,17.0592145,14.74094232,39.59260943,36.46509096,41.83011587,34.8072127,23.54247671,36.18281558,17.58690431,11.92828662,14.70058155,4.26959352,4.767904849,4.087783567
"13057","Bradi4g22080.v3.1",6.065852794,5.017365215,4.950205492,8.69914723,11.26345573,8.179425312,7.821954546,12.74872075,13.42492955,7.900321303,11.26819398,11.05220549,5.747354349,7.520006784,5.706146787,3.79519424,7.549182677,7.383037667
"13067","Bradi4g22220.v3.1",60.37419109,59.29613436,52.75876906,60.50911259,55.33309319,53.5707416,38.91663805,41.99578599,47.15097209,41.33356508,45.57582031,44.4719697,40.5763217,44.08279839,40.42659927,59.11015029,62.38008843,72.91271097
"13081","Bradi4g22620.v3.1",29.47625342,22.23605038,30.87365004,33.02596603,33.02488961,25.34723009,50.31158418,56.05687504,64.34143067,67.66796942,56.34096992,36.31438946,152.8796257,192.4084494,165.1881138,41.27273736,44.10311985,49.51223565
"13086","Bradi4g22760.v3.1",116.2937715,117.7940515,99.9159898,130.9491101,109.3539391,135.8144137,163.7782088,130.8618688,155.8601577,160.6398665,163.992466,138.4157163,275.6431146,239.8622853,207.7424288,138.6194696,124.1641888,128.7651824
"13168","Bradi4g24846.v3.1",29.38147447,30.78837746,31.78553,27.48314656,28.76008599,26.06630044,26.94228788,30.37195236,29.63307621,23.12847686,31.79240445,28.28838309,37.01296201,37.98899979,40.03974186,42.22153592,40.72585391,38.87565596
"13179","Bradi4g24967.v3.1",25.59031647,29.76209821,16.41383926,43.88065417,53.69278411,61.48051553,75.22595792,68.89933638,88.40807267,53.12679832,61.77384916,56.05047069,57.93333184,62.2345389,57.64175398,26.47147983,31.48803827,21.27315938
"13206","Bradi4g25700.v3.1",9.857010789,6.955892684,5.862085451,8.314229211,13.34118057,7.730006339,5.504338384,5.249473248,5.566434205,5.495875689,2.314004122,4.34193787,1.609259218,1.944829341,4.739003264,5.313271937,3.675259987,6.965916895
"13217","Bradi4g25900.v3.1",63.50189643,40.82310789,53.67064902,49.65442445,49.31862654,29.03246567,27.03885522,22.02903952,19.07322309,30.11281888,20.52421047,25.39375785,35.40370279,32.28416705,35.20402425,84.72771142,65.85668572,83.04874573
"13240","Bradi4g26270.v3.1",212.2100688,220.0798833,204.0005737,203.9295665,208.9753776,213.1144771,210.0339647,178.575831,184.9202187,245.8259397,255.5465421,225.6491954,281.7353102,313.636145,270.2199004,218.0339091,220.6149306,239.6358836
"13312","Bradi4g27570.v3.1",64.82880173,64.65559266,66.17643132,76.67566939,69.98652103,91.95112191,72.42550506,102.3647283,112.065418,41.21906767,63.08176453,67.10267617,32.53002562,33.06209879,46.13274606,38.71098125,54.03625495,48.80313034
"13388","Bradi4g28767.v3.1",63.40711748,71.72551637,56.27602033,89.1470132,94.91921915,105.4336911,97.72614816,107.8954234,119.1053201,94.91835304,103.9289677,115.5218621,107.2456322,99.96422811,88.88048978,77.80148193,68.04197544,59.64827042
"13492","Bradi4g30280.v3.1",16.68109518,17.67480928,16.15330213,20.3236714,18.69952359,24.80792732,29.35647138,22.3102613,24.80337594,28.05186549,23.14004122,24.34116685,24.94351788,25.02347085,26.78987559,17.64765322,17.58164913,20.10522122
"13493","Bradi4g30290.v3.1",25.40075857,26.56922943,22.14565615,30.25455629,26.13559145,20.40362138,18.92719865,20.24796824,17.92719251,23.92995873,22.13395247,18.42034248,28.85171883,20.35588043,26.9833043,28.55883666,30.59405611,34.03705501
"13500","Bradi4g30380.v3.1",23.03128483,19.15721264,13.02685656,15.85862238,17.27792238,13.21291781,15.25763973,12.65498015,11.46030572,9.503285045,15.49376673,12.23637036,14.48333296,15.42897944,20.8903001,20.01964962,36.75259987,38.45853519
"13522","Bradi4g30617.v3.1",11.94214769,9.350544264,7.946382501,8.69914723,9.404438764,7.819890133,8.594493267,6.936803935,8.677088614,8.701803174,7.143230114,6.841841492,9.655555307,10.76138902,11.31557922,12.80878056,13.80705779,18.3116019
"13571","Bradi4g31460.v3.1",101.7925922,90.65466695,81.54812205,105.8524552,118.4303161,116.6691654,111.6318451,90.83463531,114.6030572,105.22312,103.0234878,95.12791152,41.38095131,50.17659699,46.61631782,50.00168412,82.54435269,78.21014478
"13626","Bradi4g32530.v3.1",226.5216903,272.0780319,227.0581098,294.6162517,290.3347083,321.4244496,309.2086229,364.6509096,443.5138312,315.3258676,357.8657678,313.277396,289.2068708,321.1561518,267.4151842,183.213002,191.9081702,194.0862953
"13642","Bradi4g32810.v3.1",6.729305443,7.754109878,5.60154832,10.77770453,13.77859633,7.819890133,9.560166668,6.936803935,9.577541206,7.327834252,9.96027861,5.394528869,2.069047566,1.296552894,2.417858808,1.89759712,4.569242146,4.379768108
"13661","Bradi4g33090.v3.1",114.7773083,127.942813,95.87766427,139.0323885,153.2048687,139.4097655,138.9604024,142.4857025,185.5750933,134.534457,166.0046435,126.9687892,63.79563328,81.29386644,60.54318455,67.17493806,90.98751753,82.79847327
"13671","Bradi4g33323.v3.1",552.37172,638.6877857,488.1163152,376.9887078,461.6923309,376.7928671,225.3881717,259.7551852,213.7347016,259.1076392,208.6628064,161.5727183,235.6415283,165.8291151,144.7813854,324.1095881,368.8173063,430.4269248
"13692","Bradi4g33727.v3.1",7.771873892,7.297985767,12.76631943,10.46977012,15.74696723,20.22385379,31.96378957,30.84065533,30.77910678,38.92911946,40.54537656,39.99845795,25.05846496,30.72830358,23.88844502,19.07085106,22.64754803,16.30942219
